"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"07:00:00 02/12/1999",NA,NA,NA,NA,NA,NA,NA,NA,8,65,300,65,NA,NA,8.4,65,7.1,65,0.003,65,0.22,65,NA,NA,NA,NA,NA,NA,0.01,65,0.02,65,8,65,3.2,65,23,65,NA,NA,NA,NA
"07:30:00 09/01/2019",NA,NA,0.001,1,2e-04,1,0.001,1,10,1,425,1,0.001,1,7.56,1,7.59,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.01,1,3,1,5.3,1,23.5,1,0.001,1,NA,NA
"07:30:00 19/12/2019",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,362,1,0.001,1,8.3,1,7.6,1,0.003,1,0.18,1,0.001,1,1e-04,1,0.002,1,0.006,1,0.005,1,2,1,3.3,1,24,1,0.001,1,NA,NA
"07:45:00 24/02/2011",NA,NA,0.001,1,2e-04,1,0.001,1,20,1,135,1,0.001,1,7.2,1,7.4,1,0.003,1,0.2,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.017,1,2,1,4.3,1,18.9,1,0.002,1,NA,NA
"07:50:00 20/02/2020",NA,NA,0.001,1,2e-04,1,0.001,1,50,1,120.6,1,0.001,1,8.2,1,6.7,1,0.013,1,0.42,1,0.001,1,1e-04,1,0.002,1,0.33,1,0.037,1,20,1,32.7,1,17.8,1,0.004,1,NA,NA
"08:00:00 09/02/2015",NA,NA,0.001,1,2e-04,1,0.001,1,10,1,169,1,0.001,1,7.8,1,6.9,1,0.003,1,0.29,1,0.001,1,1e-04,1,0.001,1,0.003,1,0.01,1,6,1,5.8,1,21.2,1,0.004,1,NA,NA
"08:00:00 18/11/1996",NA,NA,NA,NA,NA,NA,NA,NA,12,65,230,65,NA,NA,8,65,7.3,65,0.003,65,0.32,65,NA,NA,NA,NA,NA,NA,0.004,65,0.04,65,20,65,6.5,65,16.5,65,NA,NA,NA,NA
"08:00:00 23/02/1994",NA,NA,NA,NA,NA,NA,NA,NA,40,65,150,65,NA,NA,7.8,65,6.8,65,0.003,65,0.4,65,NA,NA,NA,NA,NA,NA,0.08,65,0.03,65,10,65,9.6,65,20,65,NA,NA,NA,NA
"08:00:00 26/11/1997",NA,NA,NA,NA,NA,NA,NA,NA,12,65,360,65,NA,NA,7.8,65,7.3,65,0.003,65,0.23,65,NA,NA,NA,NA,NA,NA,0.03,65,0.005,65,8,65,3.4,65,24.5,65,NA,NA,NA,NA
"08:00:00 27/01/1993",NA,NA,NA,NA,NA,NA,NA,NA,20,65,230,65,NA,NA,8,65,7.1,65,0.02,65,0.4,65,NA,NA,NA,NA,NA,NA,0.12,65,0.06,65,8,65,3.4,65,20,65,NA,NA,NA,NA
"08:05:00 22/03/2017",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,453,1,0.001,1,6.3,1,7,1,0.008,1,0.28,1,0.001,1,1e-04,1,0.001,1,0.007,1,0.013,1,4,1,5.9,1,22.1,1,0.005,1,NA,NA
"08:05:00 23/10/2019",NA,NA,0.001,1,2e-04,1,0.001,1,10,1,267,1,0.001,1,9.31,1,7.35,1,0.003,1,0.14,1,0.001,1,1e-04,1,0.002,1,0.003,1,0.005,1,2,1,5.6,1,16.5,1,0.002,1,NA,NA
"08:15:00 09/12/1997",NA,NA,NA,NA,NA,NA,NA,NA,11,65,430,65,NA,NA,NA,180,7.5,65,0.003,65,0.23,65,NA,NA,NA,NA,NA,NA,0.02,65,0.02,65,6,65,3.7,65,22,65,NA,NA,NA,NA
"08:15:00 11/02/2009",NA,NA,0.001,65,2e-04,65,0.001,65,16,65,331,65,0.001,65,7,65,6.2,65,0.003,65,0.31,65,0.001,65,1e-04,65,0.001,65,0.005,65,0.02,65,8,65,9,65,16.6,65,0.004,65,NA,NA
"08:16:00 06/03/2019",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,499,1,0.001,1,6.56,1,7.36,1,0.003,1,0.23,1,0.001,1,1e-04,1,0.002,1,0.005,1,0.013,1,53,1,11,1,22,1,0.005,1,NA,NA
"08:21:00 18/10/2017",NA,NA,0.001,1,2e-04,1,0.001,1,8,1,281,1,0.001,1,8.6,1,7.4,1,0.005,1,0.19,1,0.001,1,1e-04,1,0.002,1,0.009,1,0.01,1,3,1,4.8,1,19.8,1,0.003,1,NA,NA
"08:30:00 02/03/1993",NA,NA,NA,NA,NA,NA,NA,NA,15,65,180,65,NA,NA,9.2,65,6.7,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.02,65,0.02,65,5,65,4.3,65,18,65,NA,NA,NA,NA
"08:30:00 07/07/1994",NA,NA,NA,NA,NA,NA,NA,NA,5,65,160,65,NA,NA,10.4,65,7.3,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,0.17,65,0.01,65,6,65,42,65,9.5,65,NA,NA,NA,NA
"08:30:00 15/12/1998",NA,NA,NA,NA,NA,NA,NA,NA,20,65,170,65,NA,NA,7,65,6.6,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.04,65,0.02,65,4,65,3.3,65,20,65,NA,NA,NA,NA
