"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:40:00 03/12/1984",NA,NA,NA,NA,NA,NA,110,65,9.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,16,65
"08:45:00 05/12/1986",NA,NA,NA,NA,NA,NA,72,65,10,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,17,65
"09:05:00 01/11/1984",NA,NA,NA,NA,NA,NA,120,65,10.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,12.5,65
"09:20:00 21/02/1989",3.4,65,5,65,10,65,67,65,8.6,65,NA,180,17,65,0.18,65,0.2,65,2.2,65,0.01,65,0.04,65,0.8,65,5.4,65,4.5,65,3.6,65,17,65,43,65,4,65,0.005,65,3,65,1.8,65,16,65
"09:30:00 04/12/1987",NA,NA,NA,NA,NA,NA,81,65,9.7,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,65,12.6,65
"09:30:00 18/01/1978",NA,NA,NA,NA,NA,NA,45,65,8.6,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,16,65
"09:30:00 26/02/1990",2.9,65,5,65,15,65,64,65,9,65,6.9,65,17,65,0.26,65,0.1,65,2.1,65,0.02,65,0.04,65,1.2,65,5.9,65,4.4,65,3.9,65,17,65,44,65,3,65,0.007,65,4,65,0.6,65,18,65
"09:45:00 04/01/1982",2.6,65,5.1,65,40,65,51,65,8.8,65,7.8,65,16,65,0.34,65,0.2,65,1.7,65,0.01,65,0.009,65,0.8,65,8.9,65,4.8,65,4,65,14,65,50,65,3,65,0.02,65,3,65,2.5,65,19,65
"09:45:00 04/10/1985",NA,NA,NA,NA,NA,NA,89,65,11.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,12,65
"10:00:00 15/02/1988",3.9,65,7,65,20,65,70,65,9.8,65,7.1,65,18,65,0.43,65,0.5,65,2.4,65,0.04,65,0.02,65,1.8,65,5.6,65,5.2,65,4.6,65,18,65,54,65,4,65,0.11,65,4,65,2.3,65,16.5,65
"10:00:00 24/08/1987",3.1,65,7,65,20,65,69,65,11.1,65,7.4,65,18,65,0.31,65,0.15,65,2.7,65,0.01,65,0.07,65,0.6,65,8.1,65,5.9,65,6.4,65,16,65,47,65,3,65,0.03,65,1,65,NA,180,7.5,65
"10:05:00 15/02/1984",4.4,65,9.2,65,60,65,73,65,8,65,7.4,65,30,65,1,65,0.5,65,3.5,65,0.04,65,0.09,65,2,65,5.8,65,6.2,65,11,65,17,65,78,65,4,65,0.03,65,6,65,3.8,65,18,65
"10:10:00 02/08/1977",NA,NA,NA,NA,NA,NA,57,65,12.3,65,5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,7.5,65
"10:10:00 06/10/1988",NA,NA,NA,NA,NA,NA,75,65,10.6,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,12,65
"10:10:00 25/03/1980",3.2,65,4.9,65,50,65,62,65,10.4,65,7.5,65,19,65,0.47,65,0.05,65,2.2,65,0.02,65,0.41,65,0.8,65,10,65,5.4,65,4,65,17,65,40,65,3,65,0.01,65,2,65,4.2,65,15,65
"10:15:00 02/02/1984",NA,NA,NA,NA,NA,NA,100,65,9.2,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,18,65
"10:15:00 06/06/1984",NA,NA,NA,NA,NA,NA,76,65,11.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,8,65
"10:20:00 06/03/1984",NA,NA,NA,NA,NA,NA,92,65,8.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,17,65
"10:20:00 12/09/1988",NA,NA,NA,NA,NA,NA,76,65,11.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,65,10.5,65
"10:20:00 14/05/1984",4,65,7.1,65,40,65,82,65,10.9,65,7.2,65,24,65,0.58,65,0.2,65,3.3,65,0.02,65,0.12,65,1.3,65,7.5,65,5.8,65,10,65,18,65,58,65,5,65,0.21,65,2,65,2.5,65,8.5,65
"10:25:00 17/08/1983",3.7,65,6.9,65,30,65,150,65,NA,180,7.2,65,19,65,0.44,65,0.25,65,2.3,65,0.01,65,0.13,65,1,65,6.6,65,5.8,65,5,65,18,65,51,65,4,65,0.01,65,1,65,6,65,9,65
"10:30:00 02/06/1987",NA,NA,NA,NA,NA,NA,90,65,11.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,7,65
"10:30:00 05/10/1983",NA,NA,NA,NA,NA,NA,81,65,10.4,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,10,65
"10:30:00 07/11/1984",6.7,65,7.4,65,30,65,120,65,NA,180,7.2,65,45,65,0.45,65,0.45,65,7.2,65,0.02,65,0.17,65,1.2,65,7.9,65,6.8,65,33,65,16,65,85,65,6,65,0.05,65,4,65,5.7,65,12,65
"10:35:00 01/02/1978",NA,NA,NA,NA,NA,NA,59,65,NA,180,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,17,65
"10:35:00 01/09/1977",NA,NA,NA,NA,NA,NA,40,65,11.9,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65,7.5,65
"10:35:00 03/12/1981",NA,NA,NA,NA,NA,NA,55,65,NA,180,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,18,65
"10:45:00 01/06/1978",NA,NA,NA,NA,NA,NA,63,65,10.4,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,65,10,65
"10:45:00 04/10/1982",2.4,65,3.7,65,30,65,54,65,10.6,65,7.1,65,14,65,0.3,65,0.25,65,1.6,65,0.01,65,0.02,65,0.3,65,5.7,65,4.3,65,3,65,14,65,33,65,3,65,0.01,65,3,65,3.7,65,11,65
"10:45:00 07/09/1987",NA,NA,NA,NA,NA,NA,80,65,10,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,8.5,65
"10:45:00 29/07/1977",NA,NA,NA,NA,NA,NA,68,65,13.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,65,9,65
"10:50:00 03/10/1984",NA,NA,NA,NA,NA,NA,86,65,10.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,65,11,65
"10:50:00 11/11/1986",3.7,65,7,65,20,65,74,65,9.8,65,6.8,65,22,65,0.3,65,0.15,65,3,65,0.02,65,0.03,65,1.1,65,7.7,65,6,65,6.7,65,19,65,46,65,3,65,0.07,65,10,65,2.6,65,15,65
"10:55:00 06/09/1989",NA,NA,NA,NA,NA,NA,65,65,NA,180,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,65,9,65
"11:00:00 02/11/1977",NA,NA,NA,NA,NA,NA,100,65,8.7,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,14.5,65
"11:00:00 03/05/1982",NA,NA,NA,NA,NA,NA,70,65,11.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,9,65
"11:00:00 03/10/1989",NA,NA,NA,NA,NA,NA,86,65,11.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,10,65
"11:00:00 05/01/1981",2.9,65,7.5,65,50,65,52,65,8.6,65,7.2,65,16,65,0.45,65,0.3,65,1.9,65,0.02,65,0.02,65,1.1,65,8,65,6.4,65,4,65,16,65,42,65,3,65,0.01,65,4,65,4,65,21,65
"11:00:00 07/03/1983",NA,NA,NA,NA,NA,NA,78,65,8,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,65,23.5,65
"11:00:00 13/01/1983",NA,NA,NA,NA,NA,NA,53,65,NA,180,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,14,65
"11:00:00 15/04/1987",NA,NA,NA,NA,NA,NA,80,65,10.4,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,65,14,65
"11:00:00 20/01/1988",NA,NA,NA,NA,NA,NA,74,65,8.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,20.5,65
"11:00:00 25/07/1988",NA,NA,NA,NA,NA,NA,75,65,11.4,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,7.5,65
"11:00:00 27/06/1978",2.3,65,13,65,50,65,NA,180,NA,180,NA,180,21,65,NA,NA,0.2,65,2.2,65,NA,NA,0.06,65,NA,NA,9.1,65,6.1,65,2,65,12,65,54,65,NA,NA,0.01,65,8,65,NA,180,NA,180
"11:05:00 15/12/1977",NA,NA,NA,NA,NA,NA,54,65,9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,19,65
"11:05:00 16/06/1986",NA,NA,NA,NA,NA,NA,86,65,11.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,9,65
"11:10:00 03/01/1978",NA,NA,NA,NA,NA,NA,45,65,8.4,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,65,19,65
"11:10:00 04/09/1978",NA,NA,NA,NA,NA,NA,54,65,11,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,65,9,65
"11:10:00 05/12/1977",2.1,65,6.7,65,35,65,43,65,9.2,65,NA,180,35,65,NA,NA,NA,NA,1.5,65,NA,NA,0.01,65,0.8,65,NA,NA,4.7,65,2,65,6,65,NA,NA,NA,NA,NA,NA,3,65,3,65,16.5,65
"11:10:00 27/02/1978",NA,NA,NA,NA,NA,NA,54,65,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,22,65
"11:15:00 04/04/1978",NA,NA,NA,NA,NA,NA,64,65,10.2,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,14,65
"11:25:00 03/10/1977",NA,NA,NA,NA,NA,NA,35,65,NA,180,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,65,10.5,65
"11:25:00 16/10/1986",NA,NA,NA,NA,NA,NA,75,65,NA,180,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,65,12,65
"11:30:00 02/02/1977",NA,NA,NA,NA,NA,NA,63,65,8.2,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,14.5,65
"11:30:00 07/05/1985",12,65,6,65,40,65,83,65,10.8,65,7.6,65,46,65,0.54,65,0.25,65,3.5,65,0.05,65,0.08,65,1,65,7.7,65,5.8,65,10,65,29,65,51,65,2,65,0.07,65,4,65,2.7,65,11,65
"11:30:00 07/11/1985",2.8,65,14,65,70,65,83,65,10.2,65,NA,180,17,65,2.9,65,0.45,65,3,65,0.04,65,0.13,65,1.7,65,7.9,65,9.3,65,3.8,65,16,65,74,65,10,65,0.03,65,28,65,29,65,13.5,65
"11:30:00 08/06/1990",NA,NA,NA,NA,NA,NA,64,65,10,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,10,65
"11:30:00 09/04/1984",NA,NA,NA,NA,NA,NA,93,65,9.9,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,65,14,65
"11:30:00 10/08/1988",3.6,65,6,65,20,65,84,65,11.4,65,6.8,65,21,65,0.39,65,0.5,65,3.2,65,0.02,65,0.07,65,0.9,65,8.3,65,6.5,65,7.1,65,18,65,52,65,4,65,0.07,65,4,65,3.1,65,8,65
"11:30:00 24/06/1988",NA,NA,NA,NA,NA,NA,61,65,8.7,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,15,65
"11:35:00 15/05/1986",5.1,65,10,65,20,65,99,65,9.9,65,NA,180,26,65,0.62,65,0.25,65,3.7,65,0.02,65,0.08,65,1.2,65,7.1,65,7.4,65,8.9,65,21,65,58,65,3,65,0.02,65,6,65,3.1,65,11.5,65
"11:40:00 05/07/1978",NA,NA,NA,NA,NA,NA,68,65,12.5,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,7.5,65
"11:45:00 05/07/1982",3.1,65,5.7,65,30,65,59,65,12.6,65,7.6,65,20,65,0.81,65,0.35,65,2.3,65,0.01,65,0.12,65,0.9,65,8.3,65,5.4,65,8,65,17,65,48,65,2,65,0.01,65,3,65,8.4,65,4,65
"11:50:00 06/09/1982",NA,NA,NA,NA,NA,NA,58,65,10.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,65,8,65
"12:00:00 01/06/1982",NA,NA,NA,NA,NA,NA,72,65,11.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,65,10,65
"12:00:00 01/07/1980",2.7,65,7.5,65,80,65,58,65,11.4,65,7.2,65,17,65,1.52,65,0.4,65,2.3,65,0.03,65,0.37,65,1.1,65,7,65,6,65,5,65,11,65,76,65,7,65,0.06,65,21,65,15,65,7.5,65
"12:00:00 04/05/1981",NA,NA,NA,NA,NA,NA,58,65,10.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,12.5,65
"12:00:00 06/07/1983",NA,NA,NA,NA,NA,NA,79,65,NA,180,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.3,65,7,65
"12:00:00 09/12/1988",NA,NA,NA,NA,NA,NA,66,65,9.2,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,17.5,65
"12:00:00 10/12/1985",NA,NA,NA,NA,NA,NA,93,65,9.5,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,65,16.5,65
"12:00:00 14/02/1983",4.6,65,6.3,65,40,65,120,65,NA,180,7.3,65,20,65,0.54,65,0.3,65,2.9,65,0.03,65,0.003,65,1.5,65,6.4,65,6,65,10,65,19,65,57,65,3,65,0.03,65,9,65,2.5,65,22,65
"12:05:00 19/05/1983",4.3,65,7,65,50,65,73,65,11,65,7,65,23,65,0.56,65,0.3,65,2.7,65,0.01,65,0.11,65,0.9,65,7.1,65,5.7,65,11,65,15,65,58,65,3,65,0.02,65,6,65,NA,180,7,65
"12:10:00 05/04/1982",3.9,65,6.2,65,60,65,79,65,10,65,7.1,65,22,65,0.96,65,0.2,65,2.6,65,0.01,65,0.08,65,1.2,65,9.1,65,5.6,65,7,65,18,65,64,65,4,65,0.03,65,9,65,NA,180,13.5,65
"12:15:00 02/03/1978",2.1,65,3.3,65,60,65,47,65,NA,180,NA,180,27,65,NA,NA,0.3,65,1.4,65,NA,NA,0.02,65,1,65,NA,NA,5,65,2,65,12,65,30,65,NA,NA,0.04,65,2,65,NA,180,17.3,65
