"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:05:00 19/01/2006",NA,NA,NA,NA,NA,NA,25,65,65,65,NA,NA,NA,NA,8.1,65,7.4,65,0.003,65,NA,NA,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,0.007,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,2.5,65,NA,NA,NA,NA
"07:10:00 22/12/2005",NA,NA,NA,NA,NA,NA,19,65,42,65,NA,NA,NA,NA,11.5,65,6.2,65,0.003,65,NA,NA,NA,NA,NA,NA,0.12,65,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,6,65,1.9,65,NA,NA,NA,NA
"07:10:00 23/02/2006",NA,NA,NA,NA,NA,NA,25,65,94,65,NA,NA,NA,NA,7.4,65,7.3,65,0.003,65,NA,NA,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,65,3,65,3.4,65,22.2,65,NA,NA
"07:15:00 17/11/2005",NA,NA,NA,NA,NA,NA,18,65,33,65,NA,NA,NA,NA,10,65,6.5,65,0.003,65,NA,NA,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,2,65,1.7,65,NA,NA,NA,NA
"07:15:00 22/01/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,1,6.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,1,NA,NA,NA,NA,0.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,1,14,1,0.619,1,420,1,NA,NA,NA,NA,7.01,1
"07:15:00 23/11/2006",NA,NA,NA,NA,NA,NA,16,65,62,65,NA,NA,NA,NA,7.5,65,6.9,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,1,65,1.8,65,20.4,65,NA,NA
"07:25:00 15/02/2007",NA,NA,NA,NA,NA,NA,350,65,258,65,NA,NA,NA,NA,1.1,65,6.7,65,0.006,65,NA,NA,NA,NA,NA,NA,51,65,NA,NA,NA,NA,0.68,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,4300,65,NA,NA,19,65,NA,NA
"07:25:00 23/03/2006",NA,NA,NA,NA,NA,NA,30,65,91,65,NA,NA,NA,NA,7.9,65,7,65,0.003,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,65,2,65,2.4,65,19.8,65,NA,NA
"07:26:00 25/01/2007",NA,NA,NA,NA,NA,NA,100,65,302,65,NA,NA,NA,NA,5.6,65,7.6,65,0.12,65,NA,NA,NA,NA,NA,NA,1.3,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,65,88,65,170,65,20.9,65,NA,NA
"07:30:00 04/03/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094,1,NA,NA,NA,NA,NA,NA,6.76,1
