"Date","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"00:00:00 21/01/2013",NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA,NA,180,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,180,NA,NA
"07:45:00 12/11/2008",NA,NA,NA,NA,NA,NA,16,65,69,65,NA,NA,8.1,65,7.5,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.02,65,0.007,65,2,65,1.5,65,18.5,65,NA,NA
"07:45:00 14/01/2009",NA,NA,NA,NA,NA,NA,15,65,70,65,NA,NA,8.1,65,7.3,65,0.003,65,0.12,65,NA,NA,NA,NA,NA,NA,0.003,65,0.007,65,2,65,1.6,65,21.5,65,NA,NA
"08:15:00 10/12/2008",NA,NA,NA,NA,NA,NA,13,65,64,65,NA,NA,8.7,65,7.4,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.07,65,0.008,65,2,65,2.3,65,15,65,NA,NA
"08:30:00 03/03/1998",NA,NA,NA,NA,NA,NA,5,65,100,65,NA,NA,7.6,65,6.8,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.04,65,0.008,65,2,65,1.6,65,17.5,65,NA,NA
"08:30:00 08/12/2009",NA,NA,NA,NA,NA,NA,15,1,69.6,1,NA,NA,8.6,1,6.8,1,0.003,1,0.08,1,NA,NA,NA,NA,NA,NA,0.012,1,0.005,1,2,1,2.3,1,18.5,1,NA,NA
"08:35:00 02/11/2005",NA,NA,NA,NA,NA,NA,18,65,64,65,NA,NA,9,65,6.8,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,0.01,65,0.005,65,1,65,1.6,65,NA,NA,NA,NA
"08:40:00 01/12/2005",NA,NA,NA,NA,NA,NA,70,65,70,65,NA,NA,9.8,65,6.6,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.05,65,0.01,65,2,65,13,65,NA,NA,NA,NA
"08:45:00 18/09/2008",NA,NA,NA,NA,NA,NA,10,65,56,65,NA,NA,11.7,65,7.4,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.11,65,0.005,65,2,65,2.7,65,8,65,NA,NA
"08:45:00 19/03/2008",NA,NA,NA,NA,NA,NA,20,65,87,65,NA,NA,8.9,65,7.3,65,0.003,65,0.11,65,NA,NA,NA,NA,NA,NA,0.04,65,0.006,65,3,65,1.6,65,20,65,NA,NA
"08:50:00 15/03/2006",NA,NA,NA,NA,NA,NA,14,65,95,65,NA,NA,7.2,65,6.6,65,0.01,65,0.05,65,NA,NA,NA,NA,NA,NA,0.15,65,0.005,65,1,65,1,65,17.2,65,NA,NA
"08:50:00 22/05/2008",NA,NA,NA,NA,NA,NA,16,65,85,65,NA,NA,11.3,65,7.4,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.01,65,0.005,65,2,65,2.5,65,8.5,65,NA,NA
"08:50:00 28/11/2006",NA,NA,NA,NA,NA,NA,10,65,83,65,NA,NA,6.3,65,6.9,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.11,65,0.006,65,1,65,0.6,65,18.1,65,NA,NA
"09:00:00 01/02/1995",NA,NA,NA,NA,NA,NA,15,65,110,65,NA,NA,8.2,65,7.3,65,0.004,65,0.2,65,NA,NA,NA,NA,NA,NA,0.04,65,0.008,65,3,65,0.8,65,17,65,NA,NA
"09:00:00 01/12/1994",NA,NA,NA,NA,NA,NA,10,65,52,65,NA,NA,10.2,65,7.2,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.009,65,0.005,65,7,65,1.1,65,12.3,65,NA,NA
"09:00:00 03/02/1998",NA,NA,NA,NA,NA,NA,7,65,90,65,NA,NA,6.4,65,7.1,65,0.003,65,0.04,65,NA,NA,NA,NA,NA,NA,0.08,65,0.01,65,2,65,1.1,65,19.5,65,NA,NA
"09:00:00 07/01/1991",NA,NA,NA,NA,NA,NA,110,65,65,65,NA,NA,9.6,65,7.1,65,NA,NA,0.3,65,NA,NA,NA,NA,NA,NA,0.05,65,0.03,65,8,65,23,65,15.5,65,NA,NA
"09:00:00 15/08/2006",NA,NA,NA,NA,NA,NA,20,65,63,65,NA,NA,13.2,65,7.3,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.02,65,0.005,65,2,65,1.5,65,5.9,65,NA,NA
"09:00:00 25/07/2006",NA,NA,NA,NA,NA,NA,25,65,62,65,NA,NA,11.5,65,7,65,0.004,65,0.15,65,NA,NA,NA,NA,NA,NA,0.08,65,0.005,65,2,65,1.9,65,7.1,65,NA,NA
"09:05:00 01/12/1992",NA,NA,NA,NA,NA,NA,15,65,78,65,NA,NA,11.6,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.003,65,0.005,65,3,65,1.8,65,12,65,NA,NA
"09:05:00 13/02/1991",NA,NA,NA,NA,NA,NA,20,65,87,65,NA,NA,6.7,65,6.3,65,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,0.03,65,0.006,65,1,65,1.2,65,19,65,NA,NA
"09:05:00 17/07/2008",NA,NA,NA,NA,NA,NA,13,65,71,65,NA,NA,11.6,65,6.8,65,0.003,65,0.09,65,NA,NA,NA,NA,NA,NA,0.21,65,0.005,65,2,65,2.1,65,6.5,65,NA,NA
"09:10:00 03/03/1997",NA,NA,NA,NA,NA,NA,12,65,110,65,NA,NA,9.4,65,7,65,0.003,65,0.19,65,NA,NA,NA,NA,NA,NA,0.08,65,0.01,65,2,65,3.2,65,17.5,65,NA,NA
"09:10:00 14/02/2006",NA,NA,NA,NA,NA,NA,25,65,86,65,NA,NA,9.2,65,6.8,65,0.003,65,0.04,65,NA,NA,NA,NA,NA,NA,0.04,65,0.01,65,1,65,0.7,65,17.5,65,NA,NA
"09:10:00 14/09/2006",NA,NA,NA,NA,NA,NA,30,65,62,65,NA,NA,11.5,65,7.6,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,0.1,65,0.006,65,3,65,3.5,65,8.1,65,NA,NA
"09:15:00 01/12/1993",NA,NA,NA,NA,NA,NA,5,65,74,65,NA,NA,9,65,7.4,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.007,65,0.008,65,2,65,3.1,65,18,65,NA,NA
"09:15:00 04/03/1996",NA,NA,NA,NA,NA,NA,19,65,87,65,NA,NA,10.8,65,7.1,65,0.003,65,0.1,65,NA,NA,NA,NA,NA,NA,0.04,65,0.01,65,2,65,2.5,65,15,65,NA,NA
"09:15:00 05/02/1996",NA,NA,NA,NA,NA,NA,15,65,74,65,NA,NA,9.4,65,7.2,65,0.004,65,0.1,65,NA,NA,NA,NA,NA,NA,0.06,65,0.01,65,2,65,1.4,65,16,65,NA,NA
