"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","IronasFe","IronasFe_Qual","ManganeseasMn","ManganeseasMn_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"09:30:00 05/12/1978",33,65,NA,NA,NA,NA,10.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,65,12,65,NA,NA
"09:30:00 10/11/1986",43,65,NA,NA,NA,NA,10,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,65,13,65,NA,NA
"10:00:00 02/02/1979",NA,180,NA,NA,NA,NA,8.4,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,23,65,NA,NA
"10:15:00 07/11/1983",30,65,NA,NA,NA,NA,9.2,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,14.5,65,NA,NA
"10:16:00 10/07/1998",NA,NA,43,1,12.63,1,NA,NA,NA,NA,NA,NA,NA,NA,0.19,1,NA,NA,0.014,1,NA,NA,NA,NA,NA,NA,6.22,1
"10:30:00 03/06/1977",52,65,NA,NA,NA,NA,13,65,5.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,7,65,NA,NA
"10:30:00 07/03/1984",90,65,NA,NA,NA,NA,8.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,65,21,65,NA,NA
"10:30:00 13/01/1988",82,65,NA,NA,NA,NA,9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,65,23,65,NA,NA
"10:30:00 15/01/1979",34,65,NA,NA,NA,NA,9.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,20,65,NA,NA
"10:30:00 23/07/1981",30,65,NA,NA,NA,NA,11.2,65,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,8,65,NA,NA
"10:40:00 07/02/1984",71,65,NA,NA,NA,NA,8.4,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,20,65,NA,NA
