"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"06:05:00 16/12/2004",NA,NA,70,65,58,65,NA,NA,NA,NA,9.2,65,7.3,65,0.006,65,0.28,65,0.007,65,0.008,65,2,65,4.1,65,16.8,65,NA,NA
"06:20:00 18/11/2003",NA,NA,20,65,66,65,NA,NA,NA,NA,8.4,65,7.4,65,0.003,65,0.14,65,0.01,65,0.007,65,1,65,NA,NA,17.9,65,NA,NA
"06:45:00 18/12/2003",NA,NA,25,65,82,65,NA,NA,NA,NA,7.4,65,7.8,65,0.003,65,0.18,65,0.01,65,0.009,65,1,65,NA,NA,24,65,NA,NA
"06:50:00 09/01/2003",0.03,65,4,65,110,65,NA,NA,NA,NA,8.4,65,7.8,65,0.003,65,0.34,65,0.01,65,0.006,65,2,65,0.6,65,21.6,65,NA,NA
"06:50:00 22/01/2004",NA,NA,16,65,93,65,NA,NA,NA,NA,8.2,65,8,65,0.004,65,0.18,65,0.01,65,0.01,65,2,65,NA,NA,21.8,65,NA,NA
"06:52:00 06/03/2003",0.004,65,8,65,130,65,NA,NA,NA,NA,8.7,65,8,65,0.003,65,0.26,65,0.03,65,0.005,65,2,65,0.7,65,19.5,65,NA,NA
"07:00:00 20/01/2005",NA,NA,2,65,79,65,NA,NA,NA,NA,8.6,65,6.6,65,0.003,65,0.16,65,0.02,65,0.008,65,1,65,1.4,65,22.8,65,NA,NA
"07:00:00 24/02/2005",NA,NA,25,65,96,65,NA,NA,NA,NA,7.4,65,7.1,65,0.003,65,0.18,65,0.01,65,0.01,65,2,65,2,65,22.6,65,NA,NA
"07:00:00 24/03/2005",NA,NA,8,65,92,65,NA,NA,NA,NA,9.2,65,7,65,0.003,65,0.1,65,0.03,65,0.005,65,3,65,NA,NA,16.8,65,NA,NA
"07:00:00 25/11/2004",NA,NA,25,65,64,65,NA,NA,NA,NA,8.2,65,6.9,65,0.003,65,0.15,65,0.009,65,0.005,65,1,65,1.1,65,19.1,65,NA,NA
"07:05:00 05/12/2002",0.01,65,8,65,86,65,NA,NA,NA,NA,8.8,65,7.9,65,0.003,65,0.25,65,0.02,65,0.01,65,1,65,0.5,65,20.1,65,NA,NA
