"Date","Chlorophylla","Chlorophylla_Qual","ConductivityLab","ConductivityLab_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","Phaeophytin","Phaeophytin_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","pHLab","pHLab_Qual"
"10:00:00 01/02/1995",2.5,65,50,65,0.003,65,0.2,65,0.005,65,1,65,NA,NA,0.01,65,7.4,65
"10:00:00 01/02/1996",3.1,65,59,65,0.003,65,0.3,65,0.03,65,3.1,65,NA,NA,0.02,65,7.5,65
"10:00:00 02/03/1994",1.2,65,52,65,0.003,65,0.2,65,0.03,65,5.7,65,NA,NA,0.02,65,6.8,65
"10:00:00 02/08/1995",2.3,65,38,65,0.003,65,0.1,65,0.05,65,2.1,65,NA,NA,0.02,65,7.1,65
"10:00:00 03/01/1996",4.7,65,57,65,0.003,65,0.3,65,0.03,65,2.3,65,NA,NA,0.02,65,7.2,65
"10:00:00 03/02/1994",4.7,65,48,65,0.004,65,0.4,65,0.03,65,0.5,65,NA,NA,0.01,65,7.5,65
"10:00:00 03/07/1996",7.4,65,57,65,0.003,65,0.14,65,0.007,65,4.8,65,18,65,0.01,65,7.6,65
"10:00:00 03/09/1996",14,65,36,65,0.003,65,0.26,65,0.007,65,7.5,65,12,65,0.02,65,7.3,65
"10:00:00 03/10/1996",15,65,36,65,0.003,65,0.18,65,0.005,65,3.5,65,12,65,0.03,65,7.5,65
"10:00:00 03/12/1996",21,65,25,65,0.004,65,0.2,65,0.01,65,5.3,65,13,65,0.01,65,8,65
"10:00:00 04/01/1994",1.7,65,47,65,0.01,65,0.1,65,0.05,65,3.1,65,NA,NA,0.02,65,7.3,65
"10:00:00 04/01/1995",2.5,65,47,65,0.004,65,0.2,65,0.01,65,0.5,65,NA,NA,0.008,65,7.4,65
"10:00:00 04/02/1997",1.1,65,50,65,0.003,65,0.23,65,0.004,65,0.6,65,NA,NA,0.01,65,8.6,65
"10:00:00 04/06/1997",8.2,65,82,65,0.004,65,0.27,65,0.03,65,10,65,NA,NA,0.01,65,7.8,65
"10:00:00 04/12/1995",4.7,65,53,65,0.003,65,0.2,65,0.02,65,1.6,65,NA,NA,0.01,65,7.3,65
"10:00:00 05/03/1997",3,65,48,65,0.003,65,0.13,65,0.01,65,4.3,65,NA,NA,0.005,65,7.3,65
"10:00:00 05/06/1996",11,65,59,65,0.003,65,0.2,65,0.005,65,2.7,65,NA,NA,0.03,65,7.5,65
"10:00:00 05/07/1995",2.5,65,39,65,0.004,65,0.2,65,0.05,65,1.9,65,NA,NA,0.01,65,7,65
"10:00:00 05/11/1996",11,65,26,65,0.007,65,0.17,65,0.01,65,9.1,65,12,65,0.01,65,7.5,65
"10:00:00 06/08/1993",3.4,65,50,65,0.003,65,0.3,65,0.01,65,1.4,65,NA,NA,0.01,65,7.3,65
"10:00:00 07/05/1997",5.7,65,64,65,0.003,65,0.28,65,0.008,65,6.1,65,NA,NA,0.05,65,7.5,65
"10:00:00 07/08/1996",12,65,45,65,0.003,65,0.15,65,0.005,65,3.3,65,15,65,0.006,65,7.7,65
"10:00:00 08/01/1997",2.7,65,39,65,0.003,65,0.21,65,0.009,65,3.3,65,NA,NA,0.01,65,7.4,65
"10:00:00 08/03/1995",2.3,65,54,65,0.003,65,0.2,65,0.003,65,0.9,65,NA,NA,0.01,65,7.2,65
"10:00:00 08/05/1996",5.8,65,59,65,0.003,65,0.2,65,0.007,65,2.4,65,NA,NA,0.01,65,7.4,65
"10:00:00 08/11/1994",1.9,65,47,65,0.003,65,0.2,65,0.003,65,4.9,65,NA,NA,0.01,65,7.3,65
"10:00:00 08/11/1995",5.3,65,47,65,0.003,65,0.2,65,0.02,65,4.1,65,NA,NA,0.01,65,7,65
"10:00:00 09/04/1996",8.9,65,63,65,0.003,65,0.3,65,0.005,65,3.2,65,NA,NA,0.01,65,7.4,65
"10:00:00 09/05/1995",2.3,65,66,65,0.004,65,0.3,65,0.003,65,1.5,65,NA,NA,0.01,65,7.5,65
"10:00:00 10/11/1993",2.6,65,44,65,0.003,65,0.2,65,0.05,65,0.5,65,NA,NA,0.02,65,7,65
"10:00:00 11/05/1994",0.5,65,59,65,0.006,65,0.3,65,0.02,65,11,65,NA,NA,0.01,65,7,65
"10:00:00 12/03/1996",7.4,65,61,65,0.003,65,0.2,65,0.02,65,3.1,65,NA,NA,0.01,65,7.3,65
"10:00:00 12/04/1995",4.2,65,61,65,0.003,65,0.2,65,0.003,65,0.5,65,NA,NA,0.01,65,7.2,65
"10:00:00 13/04/1994",2.4,65,57,65,0.006,65,0.1,65,0.02,65,4.7,65,NA,NA,0.01,65,7.2,65
"10:00:00 14/06/1994",3.7,65,57,65,0.005,65,0.2,65,0.02,65,3.1,65,NA,NA,0.01,65,7.1,65
"10:00:00 15/02/1995",1.5,65,52,65,0.003,65,0.1,65,0.003,65,1.4,65,NA,NA,0.008,65,7.4,65
"10:00:00 15/02/1996",2.7,65,61,65,0.003,65,0.3,65,0.04,65,1.6,65,NA,NA,0.02,65,7.3,65
"10:00:00 15/03/1995",2.1,65,56,65,0.006,65,0.1,65,0.003,65,2,65,NA,NA,0.01,65,7.5,65
"10:00:00 16/01/1996",6.3,65,58,65,0.003,65,0.3,65,0.01,65,2.4,65,NA,NA,0.02,65,7.7,65
"10:00:00 16/02/1994",4.4,65,48,65,0.003,65,0.2,65,0.009,65,2.5,65,NA,NA,0.01,65,7.1,65
"10:00:00 16/04/1997",0.5,65,59,65,0.003,65,0.21,65,0.007,65,10,65,NA,NA,0.01,65,7.3,65
"10:00:00 17/03/1994",0.5,65,56,65,0.003,65,0.2,65,0.03,65,18,65,NA,NA,0.02,65,7,65
"10:00:00 17/06/1997",11,65,82,65,0.003,65,0.28,65,0.006,65,5.4,65,NA,NA,0.02,65,7.6,65
"10:00:00 17/12/1996",3.6,65,37,65,0.003,65,0.05,65,0.007,65,2.3,65,NA,NA,0.01,65,7.4,65
"10:00:00 18/02/1997",2.7,65,44,65,0.003,65,0.11,65,0.01,65,1.9,65,NA,NA,0.005,65,7.4,65
"10:00:00 18/12/1995",3,65,55,65,0.008,65,0.3,65,0.03,65,1.2,65,NA,NA,0.01,65,7.1,65
"10:00:00 19/03/1997",5.1,65,49,65,0.003,65,0.17,65,0.01,65,1.5,65,NA,NA,0.01,65,7.5,65
"10:00:00 20/01/1994",3.6,65,48,65,0.008,65,0.2,65,0.03,65,1.8,65,NA,NA,0.02,65,7.2,65
"10:00:00 20/11/1996",12,65,37,65,0.003,65,0.14,65,0.008,65,4.1,65,12,65,0.02,65,7.6,65
"10:00:00 21/01/1997",3.2,65,42,65,0.003,65,0.18,65,0.01,65,1.7,65,NA,NA,0.01,65,7.4,65
"10:00:00 21/05/1997",4.9,65,76,65,0.003,65,0.26,65,0.01,65,13,65,NA,NA,0.02,65,7.4,65
"10:00:00 21/12/1993",2.1,65,45,65,0.01,65,0.1,65,0.05,65,0.7,65,NA,NA,0.02,65,7,65
"10:00:00 21/12/1994",0.9,65,46,65,0.003,65,0.3,65,0.003,65,3.2,65,NA,NA,0.01,65,7.5,65
"10:00:00 22/04/1997",3.8,65,57,65,0.003,65,0.2,65,0.003,65,3.2,65,NA,NA,0.01,65,7.4,65
"10:00:00 22/06/1994",5.3,65,59,65,0.006,65,0.2,65,0.02,65,2.4,65,NA,NA,0.01,65,7.2,65
"10:00:00 23/11/1994",3,65,50,65,0.003,65,0.1,65,0.003,65,1.5,65,NA,NA,0.02,65,7,65
"10:00:00 23/11/1995",5.3,65,53,65,0.003,65,0.3,65,0.03,65,1.3,65,NA,NA,0.03,65,7,65
"10:00:00 24/01/1995",2.2,65,49,65,0.009,65,0.1,65,0.005,65,1.4,65,NA,NA,0.01,65,7.3,65
"10:00:00 24/04/1995",2.7,65,64,65,0.007,65,0.2,65,0.003,65,2.6,65,NA,NA,0.02,65,7.4,65
