"Date","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"00:00:00 03/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 04/06/1997",NA,NA,57,1,11.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1
"00:00:00 05/06/1997",NA,NA,58,1,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,1
"00:00:00 06/01/1997",NA,NA,111,1,6.4,1,NA,NA,NA,NA,0.047,1,NA,NA,NA,NA,NA,NA,NA,NA,7.4,1
"00:00:00 08/05/1997",NA,NA,90,1,7.6,1,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,7.4,1
"00:00:00 10/02/1997",NA,NA,65,1,16,1,NA,NA,NA,NA,0.04,1,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1
"00:00:00 13/01/1997",NA,NA,49,1,8,1,NA,NA,NA,NA,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 16/12/1996",NA,NA,131,1,8.3,1,NA,NA,NA,NA,0.051,1,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1
"00:00:00 20/01/1997",NA,NA,52,1,8.8,1,NA,NA,NA,NA,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 20/05/1997",NA,NA,91,1,9.3,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1
"00:00:00 22/04/1997",NA,NA,NA,NA,8,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,6.6,1
