"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"00:00:00 03/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 04/06/1997",NA,NA,NA,NA,206,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1
"00:00:00 05/06/1997",NA,NA,NA,NA,207,1,7.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"00:00:00 06/01/1997",NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.021,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,1
"00:00:00 08/05/1997",NA,NA,NA,NA,1000,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.37,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1
"00:00:00 10/02/1997",NA,NA,NA,NA,321,1,18,1,NA,NA,NA,NA,NA,NA,NA,NA,0.17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1
"00:00:00 13/01/1997",NA,NA,NA,NA,148,1,7.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 16/12/1996",NA,NA,NA,NA,246,1,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.051,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,1
"00:00:00 20/01/1997",NA,NA,NA,NA,176,1,9.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 20/05/1997",NA,NA,NA,NA,347,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1
"00:00:00 22/04/1997",NA,NA,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
"00:00:00 23/12/1996",NA,NA,NA,NA,312,1,6.1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1
"00:00:00 24/03/1997",NA,NA,NA,NA,283,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1
"00:00:00 28/01/1997",NA,NA,NA,NA,207,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,1
"00:00:00 30/12/1996",NA,NA,NA,NA,80,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.085,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1
"06:05:00 29/11/2012",20,1,338,1,NA,NA,NA,NA,6.6,1,7,1,0.003,1,0.45,1,0.054,1,NA,NA,NA,NA,0.035,1,10,1,11,1,21.4,1,NA,NA
"06:30:00 13/01/1998",NA,NA,NA,NA,216,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,1,NA,NA,NA,NA,NA,NA,7.15,1
"06:45:00 10/03/1998",NA,NA,NA,NA,203,1,7.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,1,NA,NA,NA,NA,NA,NA,7.08,1
"06:45:00 17/03/1998",NA,NA,NA,NA,194,1,8.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.084,1,NA,NA,NA,NA,NA,NA,6.96,1
"06:50:00 24/02/1998",NA,NA,NA,NA,192,1,8.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,NA,NA,NA,NA,NA,NA,7.19,1
"06:55:00 06/01/1998",NA,NA,NA,NA,190,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,NA,NA,NA,NA,NA,NA,6.99,1
"07:00:00 20/01/1998",NA,NA,NA,NA,196,1,8.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042,1,NA,NA,NA,NA,NA,NA,6.94,1
"07:00:00 27/01/1998",NA,NA,NA,NA,245,1,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026,1,NA,NA,NA,NA,NA,NA,7,1
