"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"00:00:00 03/02/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 04/06/1997",NA,NA,NA,NA,230,1,9.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.9,1
"00:00:00 05/02/1997",NA,NA,NA,NA,166,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
"00:00:00 05/06/1997",NA,NA,NA,NA,221,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1
"00:00:00 06/01/1997",NA,NA,NA,NA,247,1,4.3,1,NA,NA,NA,NA,NA,NA,NA,NA,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1
"00:00:00 08/05/1997",NA,NA,NA,NA,265,1,7.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,1
"00:00:00 09/01/1997",NA,NA,NA,NA,NA,NA,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 10/02/1997",NA,NA,NA,NA,373,1,8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,1
"00:00:00 13/01/1997",NA,NA,NA,NA,136,1,5.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.13,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 15/01/1997",NA,NA,NA,NA,145,1,6.2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.055,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 16/12/1996",NA,NA,NA,NA,221,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,0.003,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,1
"00:00:00 19/12/1996",NA,NA,NA,NA,226,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1
"00:00:00 20/01/1997",NA,NA,NA,NA,174,1,6.5,1,NA,NA,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 20/05/1997",NA,NA,NA,NA,336,1,7.1,1,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,1
"00:00:00 22/04/1997",NA,NA,NA,NA,NA,NA,7.9,1,NA,NA,NA,NA,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1
"00:00:00 23/01/1997",NA,NA,NA,NA,144,1,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,0.018,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,1
"00:00:00 23/12/1996",NA,NA,NA,NA,243,1,5.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"00:00:00 24/03/1997",NA,NA,NA,NA,260,1,7.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.55,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,1
"00:00:00 28/01/1997",NA,NA,NA,NA,165,1,4.6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.043,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1
"00:00:00 30/01/1997",NA,NA,NA,NA,198,1,5.4,1,NA,NA,NA,NA,NA,NA,NA,NA,0.063,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"00:00:00 30/12/1996",NA,NA,NA,NA,285,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,0.12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.6,1
"07:45:00 08/12/2006",12,65,92,65,NA,NA,NA,NA,6.7,65,6.5,65,0.006,65,0.36,65,0.01,65,NA,NA,0.05,65,16,65,13,65,18.8,65,NA,NA
"08:00:00 18/08/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,1,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA
"08:10:00 11/08/1998",NA,NA,NA,NA,279,1,9.87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.44,1,NA,NA,NA,NA,NA,NA,6.46,1
"08:15:00 16/01/2008",40,65,95,65,NA,NA,NA,NA,6,65,7.1,65,0.003,65,0.36,65,0.35,65,NA,NA,0.08,65,56,65,91.1,65,21.5,65,NA,NA
"08:15:00 30/10/2014",25,1,94,1,NA,NA,NA,NA,NA,180,7.3,1,0.015,1,0.48,1,0.024,1,NA,NA,0.086,1,20,1,17.6,1,17.1,1,NA,NA
"08:20:00 17/03/1998",NA,NA,NA,NA,98,1,6.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057,1,NA,NA,NA,NA,NA,NA,6.96,1
"08:20:00 25/01/2006",40,65,72,65,NA,NA,NA,NA,6.3,65,6.4,65,0.01,65,0.36,65,0.009,65,NA,NA,0.09,65,15,65,19,65,NA,NA,NA,NA
"08:36:00 17/01/2007",20,65,123,65,NA,NA,NA,NA,4.6,65,6.5,65,0.006,65,0.32,65,0.01,65,NA,NA,0.05,65,8,65,7.5,65,23.9,65,NA,NA
"08:40:00 10/03/1998",NA,NA,NA,NA,84,1,5.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072,1,NA,NA,NA,NA,NA,NA,7.04,1
"08:40:00 16/03/2006",25,65,70,65,NA,NA,NA,NA,6.8,65,6.5,65,0.01,65,0.16,65,0.02,65,NA,NA,0.01,65,10,65,14,65,19.4,65,NA,NA
"08:40:00 27/03/2013",16,1,82,1,NA,NA,NA,NA,8.8,1,6.7,1,0.003,1,0.33,1,0.008,1,NA,NA,0.044,1,25,1,25,1,19.6,1,NA,NA
"08:45:00 15/02/2006",30,65,78,65,NA,NA,NA,NA,6.4,65,6.9,65,0.03,65,0.26,65,0.01,65,NA,NA,0.1,65,10,65,14,65,20.1,65,NA,NA
"08:55:00 11/01/1999",NA,NA,NA,NA,125,1,5.41,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,1,0.41,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:05:00 24/02/1998",NA,NA,NA,NA,103,1,6.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.065,1,NA,NA,NA,NA,NA,NA,7.21,1
"09:05:00 24/03/2009",19,65,121,65,NA,NA,NA,NA,6.9,65,6.6,65,0.01,65,0.44,65,0.03,65,NA,NA,0.07,65,20,65,18.6,65,19.3,65,NA,NA
"09:15:00 12/01/2010",23,1,62.6,1,NA,NA,NA,NA,6.2,1,6.9,1,0.006,1,0.2,1,0.018,1,NA,NA,0.046,1,12,1,17.5,1,25.3,1,NA,NA
"09:15:00 28/10/2009",20,1,76.6,1,NA,NA,NA,NA,7.3,1,7.1,1,0.006,1,0.19,1,0.1,1,NA,NA,0.045,1,10,1,21,1,15,1,NA,NA
"09:20:00 09/02/1998",NA,NA,NA,NA,114,1,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093,1,NA,NA,NA,NA,NA,NA,7.32,1
"09:26:00 08/11/2006",19,65,NA,NA,NA,NA,NA,NA,7.3,65,6.4,65,0.005,65,0.25,65,0.08,65,NA,NA,0.02,65,8,65,9,65,15.3,65,NA,NA
"09:27:00 22/12/1998",NA,NA,NA,NA,212,1,7.49,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83,1,0.31,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:30:00 03/07/1997",NA,NA,NA,NA,396,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,NA,NA,NA,NA,NA,NA,7.52,1
"09:30:00 13/05/2015",20,1,146,1,NA,NA,NA,NA,9.3,1,7,1,0.046,1,0.41,1,0.15,1,NA,NA,0.33,1,10,1,12.7,1,10.3,1,NA,NA
"09:30:00 15/12/2005",35,65,86,65,NA,NA,NA,NA,7.4,65,6.5,65,0.02,65,0.26,65,0.01,65,NA,NA,0.09,65,9,65,8.4,65,NA,NA,NA,NA
"09:30:00 17/10/2013",40,1,118,1,NA,NA,NA,NA,8.2,1,7.4,1,0.035,1,0.4,1,0.16,1,NA,NA,0.14,1,22,1,30.6,1,15.3,1,NA,NA
"09:30:00 29/11/2011",NA,180,80,1,NA,NA,NA,NA,8.3,1,6.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,1,20,1,NA,NA
"09:35:00 07/04/1997",NA,NA,NA,NA,150,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26,1,NA,NA,NA,NA,NA,NA,7.2,1
"09:35:00 07/12/1998",NA,NA,NA,NA,136,1,7.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,1,0.16,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:40:00 03/11/2005",50,65,88,65,NA,NA,NA,NA,7.2,65,6.5,65,0.06,65,0.34,65,0.09,65,NA,NA,0.13,65,4,65,7.8,65,NA,NA,NA,NA
"09:45:00 19/01/1999",NA,NA,NA,NA,223,1,5.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1,0.3,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:45:00 31/08/2009",20,1,152.8,1,NA,NA,NA,NA,8.8,1,6.8,1,0.016,1,0.31,1,0.204,1,NA,NA,0.068,1,8,1,13.8,1,11.7,1,NA,NA
"09:55:00 12/07/1999",NA,NA,NA,NA,167,1,7.66,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47,1,0.081,1,NA,NA,NA,NA,NA,NA,NA,NA
"09:56:00 29/12/1998",NA,NA,NA,NA,147,1,6.83,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,1,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 10/05/1999",NA,NA,NA,NA,129,1,8.92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66,1,0.22,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 10/11/1998",NA,NA,NA,NA,145,1,7.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.28,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 14/04/1998",NA,NA,NA,NA,111,1,8.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.075,1,NA,NA,NA,NA,NA,NA,6.98,1
"10:00:00 19/07/1999",NA,NA,NA,NA,185,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,1,0.084,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 19/12/2012",40,1,120,1,NA,NA,NA,NA,7.4,1,6.9,1,0.09,1,0.64,1,0.11,1,NA,NA,0.22,1,17,1,19.3,1,21.8,1,NA,NA
"10:00:00 26/07/1999",NA,NA,NA,NA,189,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,1,0.1,1,NA,NA,NA,NA,NA,NA,NA,NA
"10:00:00 28/08/2014",16,1,60,1,NA,NA,NA,NA,10.2,1,7.2,1,0.003,1,0.24,1,0.043,1,NA,NA,0.016,1,8,1,11.3,1,10.1,1,NA,NA
"10:00:00 29/09/2010",32,1,156,1,NA,NA,NA,NA,9.6,1,7,1,0.015,1,0.52,1,0.25,1,NA,NA,0.13,1,26,1,48.1,1,12.4,1,NA,NA
"10:00:00 30/04/2008",NA,NA,150,65,NA,NA,NA,NA,7.9,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.6,65,12.2,65,NA,NA
