"Date","DissolvedOxygenppm","DissolvedOxygenppm_Qual","WaterTemperature","WaterTemperature_Qual"
"00:00:00 01/01/2006",NA,180,NA,170
"00:00:00 01/01/2007",5.368,2,22.2,2
"00:00:00 01/01/2010",7.941,2,26.3,2
"00:00:00 01/01/2011",6.617,100,23,2
"00:00:00 01/01/2012",NA,161,24.2,2
"00:00:00 01/01/2013",5.674,2,23,2
"00:00:00 01/01/2014",7.548,15,23,2
"00:00:00 01/02/2007",6.813,2,21.1,2
"00:00:00 01/02/2008",3.997,2,22.7,2
"00:00:00 01/02/2010",6.047,2,24.7,2
"00:00:00 01/02/2011",4.443,100,25.3,2
"00:00:00 01/02/2012",NA,161,21.6,2
"00:00:00 01/02/2013",NA,180,22.5,2
"00:00:00 01/02/2014",7.075,2,24.2,2
"00:00:00 01/03/2006",NA,180,NA,170
"00:00:00 01/03/2007",4.758,2,23.2,2
"00:00:00 01/03/2008",6.722,2,17.1,2
"00:00:00 01/03/2009",6.062,2,21.1,2
"00:00:00 01/03/2010",5.859,2,21.5,2
"00:00:00 01/03/2011",7.196,2,21.5,2
"00:00:00 01/03/2012",6.655,2,21.5,2
"00:00:00 01/03/2013",NA,NA,23.3,2
"00:00:00 01/04/2006",6.685,2,17.7,2
"00:00:00 01/04/2007",5.732,2,NA,NA
"00:00:00 01/04/2008",7.752,2,16.4,2
"00:00:00 01/04/2009",6.053,50,19.8,2
"00:00:00 01/04/2010",6.073,2,19.8,2
"00:00:00 01/04/2011",8.314,2,18.7,2
"00:00:00 01/04/2012",7.964,2,19.2,2
"00:00:00 01/04/2013",8.01,100,18.4,2
"00:00:00 01/05/2006",8.312,2,14.5,2
"00:00:00 01/05/2007",5.337,2,17.1,2
"00:00:00 01/05/2008",8.69,2,13.7,2
"00:00:00 01/05/2009",8.709,2,12.8,2
"00:00:00 01/05/2010",NA,180,15.8,2
"00:00:00 01/05/2011",9.279,2,16.7,2
"00:00:00 01/05/2012",9.087,2,15.4,2
"00:00:00 01/06/2006",8.815,2,11.8,2
"00:00:00 01/06/2007",7.386,2,10.6,2
"00:00:00 01/06/2008",7.774,2,11.6,2
"00:00:00 01/06/2009",8.034,2,12.5,2
"00:00:00 01/06/2010",9.357,2,13.6,2
"00:00:00 01/06/2011",9.846,2,12.4,2
"00:00:00 01/06/2012",9.04,15,12.4,2
"00:00:00 01/06/2013",9.896,15,11.9,2
"00:00:00 01/07/2006",10.6,2,8.1,2
"00:00:00 01/07/2007",NA,NA,8.8,2
"00:00:00 01/07/2008",8.274,2,11.4,2
"00:00:00 01/07/2009",9.354,2,11.5,2
"00:00:00 01/07/2010",9.953,15,9.1,2
"00:00:00 01/07/2011",11.272,2,8.3,2
"00:00:00 01/07/2012",11.002,15,9.4,2
"00:00:00 01/07/2013",8.986,15,9,2
"00:00:00 01/08/2006",7.968,2,NA,NA
"00:00:00 01/08/2007",10.845,2,8.4,2
"00:00:00 01/08/2008",10.043,2,10.2,2
"00:00:00 01/08/2009",9.444,2,11.5,2
"00:00:00 01/08/2010",10.869,15,10,2
"00:00:00 01/08/2011",10.129,2,9.6,2
"00:00:00 01/08/2013",10.863,2,9.6,2
"00:00:00 01/09/2006",8.192,2,NA,NA
"00:00:00 01/09/2007",8.663,2,12,2
"00:00:00 01/09/2008",9.687,2,12.2,2
"00:00:00 01/09/2009",8.105,2,12.2,2
"00:00:00 01/09/2010",11.01,15,9.7,2
"00:00:00 01/09/2011",7.92,2,11.4,2
"00:00:00 01/09/2013",10.696,2,11.9,2
"00:00:00 01/10/2006",10.169,2,14.5,2
"00:00:00 01/10/2007",8.779,2,14.3,2
"00:00:00 01/10/2009",10.013,2,14.3,2
