"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","FlourideasF","FlourideasF_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:39:00 15/02/1995",NA,NA,NA,NA,40,65,160,65,NA,NA,7.8,65,6.4,65,0.005,65,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.14,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,21,65,18,65,21,65,NA,NA
"07:50:00 15/11/1995",NA,NA,NA,NA,60,65,240,65,NA,NA,9.8,65,6.4,65,0.006,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.53,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,37,65,26,65,15,65,NA,NA
"08:10:00 16/03/1998",3.5,65,36,65,35,65,320,65,150,65,9.4,65,7.1,65,0.003,65,NA,NA,NA,NA,NA,NA,0.27,65,3.8,65,NA,NA,NA,NA,0.02,65,1.6,65,NA,NA,18,65,5,65,18,65,NA,NA,NA,NA,0.04,65,13,65,12,65,18,65,7.9,65
"08:15:00 17/12/1990",NA,NA,NA,NA,55,65,150,65,NA,NA,11,65,6.4,65,0.08,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.004,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,65,26,65,16,65,17,65,NA,NA
"08:30:00 02/11/1982",NA,NA,NA,NA,NA,NA,260,65,NA,NA,8.3,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,19.5,65,NA,NA
"08:35:00 14/01/1999",6.9,65,58,65,55,65,370,65,290,65,8.4,65,6.9,65,0.02,65,NA,NA,NA,NA,NA,NA,0.58,65,6.4,65,NA,NA,NA,NA,0.26,65,2.8,65,NA,NA,36,65,16,65,29,65,NA,NA,NA,NA,0.08,65,23,65,8.5,65,19.5,65,7.2,65
"08:41:00 08/03/1990",NA,NA,NA,NA,NA,NA,410,65,NA,NA,7.4,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,65,20,65,NA,NA
"08:45:00 12/10/1995",NA,NA,NA,NA,50,65,270,65,NA,NA,10.1,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,0.5,65,NA,NA,NA,NA,NA,NA,0.43,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,24,65,15,65,13,65,NA,NA
"08:56:00 12/04/1990",NA,NA,NA,NA,NA,NA,150,65,NA,NA,9.3,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,65,18.5,65,NA,NA
"09:00:00 07/02/1989",4.2,65,31,65,100,65,160,65,NA,NA,7.2,65,6.8,65,NA,NA,NA,NA,26,65,1.9,65,0.5,65,4.3,65,0.1,65,NA,NA,0.003,65,1.9,65,NA,NA,19,65,1.8,65,20,65,100,65,6,65,0.06,65,40,65,17,65,20.5,65,NA,NA
"09:02:00 11/01/1990",NA,NA,NA,NA,NA,NA,140,65,NA,NA,9.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,22,65,NA,NA
"09:07:00 20/08/1990",NA,NA,NA,NA,80,65,210,65,NA,NA,11.2,65,7.7,65,0.006,65,NA,NA,NA,NA,NA,NA,0.9,65,NA,NA,NA,NA,NA,NA,0.62,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,39,65,35,65,10,65,NA,NA
"09:10:00 05/07/1990",NA,NA,NA,NA,NA,NA,260,65,NA,NA,11.6,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,8.5,65,NA,NA
"09:10:00 07/01/1985",NA,NA,NA,NA,NA,NA,270,65,NA,NA,8.2,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,65,19,65,NA,NA
"09:10:00 09/01/1986",NA,NA,NA,NA,NA,NA,200,65,NA,NA,9.4,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,19,65,NA,NA
"09:10:00 15/11/1977",NA,NA,NA,NA,NA,NA,280,65,NA,NA,9.6,65,7.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,65,18.5,65,NA,NA
"09:11:00 17/09/1990",NA,NA,NA,NA,40,65,210,65,NA,NA,11.4,65,NA,180,0.01,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,24,65,20,65,10.5,65,NA,NA
"09:12:00 05/06/1990",NA,NA,NA,NA,NA,NA,240,65,NA,NA,11.2,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,65,11.5,65,NA,NA
"09:15:00 05/12/2001",7,65,56,65,50,65,280,65,280,65,9,65,7.3,65,0.007,65,NA,NA,NA,NA,NA,NA,0.46,65,6.9,65,NA,NA,NA,NA,0.37,65,2.3,65,NA,NA,36,65,16,65,28,65,NA,NA,NA,NA,0.06,65,19,65,13,65,16,65,7.4,65
"09:21:00 19/11/1990",NA,NA,NA,NA,50,65,220,65,NA,NA,10.2,65,6.6,65,0.03,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,26,65,21,65,17,65,NA,NA
"09:22:00 22/10/1990",NA,NA,NA,NA,55,65,250,65,NA,NA,10.7,65,6.7,65,0.08,65,NA,NA,NA,NA,NA,NA,0.7,65,NA,NA,NA,NA,NA,NA,0.52,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,65,36,65,32,65,13,65,NA,NA
"09:30:00 02/12/1987",NA,NA,NA,NA,NA,NA,210,65,NA,NA,8.8,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,65,16,65,NA,NA
"09:30:00 05/11/1986",7.2,65,41,65,60,65,250,65,NA,NA,NA,180,6.9,65,NA,NA,NA,NA,41,65,1.9,65,0.45,65,5.5,65,0.06,65,NA,NA,0.53,65,1.8,65,10,65,30,65,26,65,24,65,160,65,6,65,0.08,65,24,65,10,65,19,65,NA,NA
"09:30:00 06/02/1997",3.2,65,28,65,50,65,140,65,140,65,8.8,65,6.6,65,0.005,65,NA,NA,NA,NA,NA,NA,0.25,65,3.2,65,NA,NA,NA,NA,0.16,65,1.9,65,NA,NA,15,65,2.2,65,17,65,NA,NA,NA,NA,0.11,65,18,65,13,65,21.5,65,7.1,65
"09:30:00 06/09/1995",NA,NA,NA,NA,60,65,230,65,NA,NA,11.8,65,6.9,65,0.01,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,0.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,32,65,20,65,8,65,NA,NA
