"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalReactivePhosphorus","TotalReactivePhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"07:05:00 04/12/2008",36,65,205,65,8.3,65,7.1,65,0.003,65,0.3,65,0.27,65,0.04,65,NA,NA,10,65,13.9,65,13.5,65
"07:10:00 03/04/2008",25,65,216,65,9,65,7.1,65,0.003,65,0.26,65,0.16,65,0.02,65,NA,NA,8,65,13.9,65,11.5,65
"07:10:00 04/03/2009",40,65,223,65,6.7,65,6.9,65,0.003,65,0.97,65,0.56,65,0.06,65,NA,NA,26,65,27,65,16,65
"07:10:00 05/11/2008",33,65,519,65,10.8,65,7.2,65,0.003,65,0.46,65,0.39,65,0.06,65,NA,NA,21,65,21,65,12,65
"07:15:00 03/03/2010",32,1,222.5,1,8.3,1,6.9,1,0.005,1,0.16,1,0.153,1,0.024,1,NA,NA,14,1,20,1,15,1
"07:20:00 06/01/2010",40,1,227.6,1,8.2,1,6.8,1,0.01,1,0.11,1,0.24,1,0.024,1,NA,NA,18,1,23,1,17.5,1
"07:25:00 05/01/2011",40,1,200,1,8.9,1,6.9,1,0.003,1,0.45,1,0.49,1,0.081,1,NA,NA,34,1,37,1,16,1
"07:25:00 07/10/2008",32,65,224,65,11.4,65,7,65,0.003,65,0.34,65,0.48,65,0.03,65,NA,NA,9,65,17.9,65,10,65
"07:30:00 06/01/2009",30,65,477,65,7.8,65,7,65,0.003,65,0.26,65,0.28,65,0.03,65,NA,NA,6,65,9.1,65,16,65
"07:30:00 08/12/2010",48,1,189,1,7.8,1,7,1,0.004,1,0.52,1,0.56,1,0.058,1,NA,NA,24,1,80,1,20,1
