"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalNitrogen","TotalNitrogen_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:40:00 09/12/2019",NA,NA,65,1,8.89,1,6.65,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,1,18,1
"08:50:00 21/03/2011",70,1,113,1,8.9,1,7.2,1,0.003,1,0.35,1,0.058,1,NA,NA,0.015,1,7,1,12,1,17.5,1
"08:55:00 24/11/2009",33,1,76.5,1,7.8,1,6.8,1,0.005,1,0.2,1,0.008,1,NA,NA,0.011,1,2,1,5,1,18.5,1
"09:00:00 05/01/2017",NA,NA,70,1,7.7,1,7,1,0.006,1,0.21,1,0.027,1,NA,NA,0.013,1,NA,NA,5.6,1,22.5,1
"09:00:00 07/10/2020",NA,NA,67,1,10.26,1,6.97,1,0.003,1,0.17,1,0.15,1,0.31,1,0.01,1,NA,NA,6.7,1,12,1
"09:05:00 04/11/2020",NA,NA,100,1,9.32,1,6.77,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.3,1,17.6,1
"09:10:00 02/02/2021",NA,NA,68,1,8.9,1,6.67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,1,18.2,1
"09:10:00 07/01/2021",NA,NA,69,1,9.03,1,6.81,1,0.003,1,0.23,1,0.043,1,0.28,1,0.006,1,NA,NA,6.7,1,19.9,1
"09:15:00 07/03/2019",NA,NA,70,1,7.99,1,6.78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,1,18.6,1
"09:15:00 14/12/2006",25,65,83,65,7.8,65,6.5,65,0.003,65,0.26,65,0.01,65,NA,NA,0.009,65,3,65,3.1,65,19.1,65
