"Date","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"07:00:00 05/02/1992",30,65,54,65,9.2,65,6.5,65,0.003,65,0.5,65,0.31,65,0.11,65,11,65,4.8,65,15,65
"07:00:00 10/11/1993",45,65,46,65,10.8,65,6.6,65,0.01,65,0.4,65,0.46,65,0.03,65,15,65,7.1,65,9,65
"07:12:00 12/01/1994",35,65,67,65,10,65,6.3,65,0.004,65,0.4,65,0.38,65,0.03,65,18,65,10,65,13,65
"07:20:00 11/12/1991",50,65,54,65,10.6,65,6.8,65,0.2,65,0.5,65,0.34,65,0.24,65,24,65,9.5,65,11.5,65
"07:21:00 04/11/1992",55,65,56,65,11.2,65,6.5,65,0.31,65,0.4,65,0.41,65,0.34,65,22,65,15,65,8,65
"07:22:00 03/02/1993",40,65,72,65,8.6,65,5.9,65,0.18,65,0.3,65,0.28,65,0.22,65,20,65,6.8,65,18,65
"07:22:00 09/01/1991",60,65,62,65,10.7,65,6.1,65,0.11,65,0.4,65,0.31,65,0.22,65,12,65,5.3,65,14,65
"07:23:00 07/11/1990",40,65,57,65,10,65,6.6,65,0.03,65,0.4,65,0.42,65,0.08,65,18,65,5,65,15,65
"07:24:00 06/01/1993",40,65,56,65,9.5,65,6.2,65,0.27,65,0.4,65,0.39,65,0.3,65,11,65,8.4,65,13,65
"07:30:00 06/02/1991",55,65,67,65,9.1,65,6.5,65,0.03,65,0.4,65,0.3,65,0.07,65,7,65,5.8,65,15,65
"07:58:00 07/02/1989",NA,NA,57,65,9.1,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,65,13,65
"08:13:00 06/10/1993",55,65,50,65,10.2,65,6.5,65,0.01,65,0.4,65,0.47,65,0.03,65,16,65,12,65,10,65
"08:15:00 06/03/1996",60,65,70,65,10.9,65,6.7,65,0.01,65,0.3,65,0.42,65,0.04,65,12,65,5.3,65,14,65
"08:18:00 08/11/1989",NA,NA,53,65,10.4,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,65,11,65
"08:20:00 03/06/1992",80,65,47,65,9.6,65,6.5,65,0.33,65,0.8,65,0.31,65,0.33,65,46,65,18,65,9,65
"08:20:00 07/08/1991",50,65,74,65,10.5,65,6.6,65,0.003,65,0.5,65,0.42,65,0.07,65,19,65,8.1,65,8.5,65
"08:20:00 08/08/1990",60,65,56,65,10.2,65,6.2,65,0.007,65,0.5,65,0.41,65,0.03,65,17,65,11,65,7.5,65
"08:20:00 17/07/1991",70,65,60,65,9,65,7,65,0.05,65,0.5,65,0.43,65,0.07,65,13,65,7.9,65,8.5,65
