"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"07:00:00 08/03/2007",NA,NA,NA,NA,18,65,73,65,9.7,65,6.9,65,0.01,65,NA,NA,NA,NA,0.2,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,3,65,4.9,65,15.2,65
"07:30:00 11/04/2007",NA,NA,NA,NA,12,65,NA,NA,NA,NA,NA,NA,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,NA,NA,NA,NA
"07:30:00 12/04/2007",NA,NA,NA,NA,NA,NA,75,65,9.5,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,65,14.3,65
"07:50:00 05/06/2008",NA,NA,NA,NA,18,65,73,65,9.7,65,6.9,65,0.003,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,0.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007,65,3,65,3,65,12.3,65
"08:11:00 08/02/1990",NA,NA,NA,NA,NA,NA,69,65,8.8,65,6.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,15,65
"09:00:00 02/11/1982",NA,NA,NA,NA,NA,NA,51,65,13.1,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,13,65
"09:00:00 05/01/2011",NA,NA,NA,NA,20,1,98,1,9.2,1,7.1,1,0.003,1,NA,NA,NA,NA,0.15,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009,1,2,1,3.9,1,16,1
"09:00:00 07/03/2012",NA,NA,NA,NA,35,1,91,1,8.6,1,7.2,1,0.02,1,NA,NA,NA,NA,0.2,1,NA,NA,NA,NA,0.24,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1,3,1,2.8,1,15.4,1
"09:23:00 12/04/1990",NA,NA,NA,NA,NA,NA,70,65,9.4,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,16.5,65
"09:30:00 01/02/2012",NA,NA,NA,NA,40,1,81,1,9,1,7.5,1,NA,NA,NA,NA,NA,NA,0.22,1,NA,NA,NA,NA,0.27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,1,2,1,3.1,1,14.9,1
"09:30:00 01/12/2010",NA,NA,NA,NA,20,1,111,1,8.1,1,7.1,1,0.003,1,NA,NA,NA,NA,0.18,1,NA,NA,NA,NA,0.14,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,1,2,1,3.2,1,16,1
