"Date","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"07:39:00 07/02/1990",NA,NA,NA,NA,NA,NA,64,65,NA,NA,9.4,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,12,65,NA,NA
"08:02:00 07/03/1990",NA,NA,NA,NA,NA,NA,64,65,NA,NA,7.3,65,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,15,65,NA,NA
"08:20:00 04/02/1982",NA,NA,NA,NA,NA,NA,68,65,NA,NA,9.6,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,14.6,65,NA,NA
"08:30:00 07/01/1982",NA,NA,NA,NA,NA,NA,64,65,NA,NA,11.5,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,65,14.5,65,NA,NA
"08:30:00 17/08/1988",NA,NA,NA,NA,NA,NA,67,65,NA,NA,10.6,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,65,8.5,65,NA,NA
"08:45:00 25/11/1982",NA,NA,NA,NA,NA,NA,89,65,NA,NA,9.8,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,15.5,65,NA,NA
"08:49:00 08/11/1989",NA,NA,NA,NA,NA,NA,53,65,NA,NA,11.1,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,65,10.5,65,NA,NA
"08:50:00 08/03/1988",NA,NA,NA,NA,NA,NA,71,65,NA,NA,7.1,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,65,13,65,NA,NA
"08:50:00 20/08/1982",NA,NA,NA,NA,NA,NA,77,65,NA,NA,13,65,8.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,65,5.3,65,NA,NA
"08:50:00 22/05/1997",1.2,65,12,65,25,65,84,65,62,65,11,65,6.6,65,0.003,65,0.23,65,0.9,65,0.32,65,1.6,65,8,65,1.1,65,9,65,0.01,65,9,65,4.2,65,9.9,65,6.9,65
"08:51:00 07/09/1989",NA,NA,NA,NA,NA,NA,59,65,NA,NA,12.4,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,7,65,NA,NA
"09:00:00 07/07/1988",NA,NA,NA,NA,NA,NA,71,65,NA,NA,10.6,65,5.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,65,8.5,65,NA,NA
"09:00:00 10/02/1987",NA,NA,NA,NA,NA,NA,85,65,NA,NA,9.2,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,13.5,65,NA,NA
"09:02:00 10/08/1989",NA,NA,NA,NA,NA,NA,65,65,NA,NA,11.4,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,65,8,65,NA,NA
"09:02:00 11/04/1990",NA,NA,NA,NA,NA,NA,67,65,NA,NA,9,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,65,14,65,NA,NA
"09:04:00 04/10/1989",NA,NA,NA,NA,NA,NA,62,65,NA,NA,10.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,8.5,65,NA,NA
"09:07:00 07/06/1990",NA,NA,NA,NA,NA,NA,71,65,NA,NA,11.1,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,65,6.5,65,NA,NA
"09:12:00 16/05/1990",NA,NA,NA,NA,NA,NA,64,65,NA,NA,9.7,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,65,7.5,65,NA,NA
"09:15:00 03/12/1980",NA,NA,NA,NA,NA,NA,63,65,NA,NA,9.6,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,65,12.5,65,NA,NA
"09:15:00 04/01/1984",NA,NA,NA,NA,NA,NA,90,65,NA,NA,9.3,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,65,13.6,65,NA,NA
"09:15:00 04/11/1981",NA,NA,NA,NA,NA,NA,66,65,NA,NA,10,65,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,65,10.8,65,NA,NA
"09:22:00 18/01/1980",NA,NA,NA,NA,NA,NA,92,65,NA,NA,10,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,13.8,65,NA,NA
"09:30:00 04/05/1982",NA,NA,NA,NA,NA,NA,78,65,NA,NA,11.3,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,65,7.6,65,NA,NA
"09:30:00 05/02/1985",NA,NA,NA,NA,NA,NA,85,65,NA,NA,10.1,65,6.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,65,13.5,65,NA,NA
"09:30:00 07/06/1989",NA,NA,NA,NA,NA,NA,73,65,NA,NA,8.7,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,8,65,NA,NA
"09:30:00 15/09/1980",NA,NA,NA,NA,NA,NA,57,65,NA,NA,10.9,65,7.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,65,8,65,NA,NA
"09:30:00 23/03/1981",NA,NA,NA,NA,NA,NA,780,65,NA,NA,8.6,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,11,65,NA,NA
"09:35:00 03/08/1981",NA,NA,NA,NA,NA,NA,70,65,NA,NA,11.2,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,65,8,65,NA,NA
"09:36:00 04/07/1990",NA,NA,NA,NA,NA,NA,48,65,NA,NA,11.6,65,6.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,11.5,65,NA,NA
"09:40:00 06/10/1987",NA,NA,NA,NA,NA,NA,110,65,NA,NA,10.6,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,65,9,65,NA,NA
"09:41:00 13/02/1980",NA,NA,NA,NA,NA,NA,79,65,NA,NA,9,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,65,15,65,NA,NA
"09:42:00 01/09/1981",NA,NA,NA,NA,NA,NA,55,65,NA,NA,10.6,65,6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,8.5,65,NA,NA
"09:45:00 15/04/1981",NA,NA,NA,NA,NA,NA,110,65,NA,NA,10.1,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,65,10,65,NA,NA
"09:45:00 19/01/1978",NA,NA,NA,NA,NA,NA,72,65,NA,NA,7.7,65,10.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,65,13,65,NA,NA
"09:45:00 22/03/1982",NA,NA,NA,NA,NA,NA,86,65,NA,NA,9.5,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,65,14.4,65,NA,NA
"09:50:00 03/02/1981",NA,NA,NA,NA,NA,NA,73,65,NA,NA,11.1,65,7.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,15,65,NA,NA
"09:50:00 07/01/1986",NA,NA,NA,NA,NA,NA,64,65,NA,NA,10.4,65,6.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,65,12.8,65,NA,NA
"09:50:00 07/12/1984",NA,NA,NA,NA,NA,NA,75,65,NA,NA,10,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,65,12,65,NA,NA
"09:50:00 16/02/1977",NA,NA,NA,NA,NA,NA,200,65,NA,NA,9.2,65,7.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,65,12.5,65,NA,NA
"09:55:00 06/11/1985",NA,NA,NA,NA,NA,NA,71,65,NA,NA,8.1,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,65,13.2,65,NA,NA
"10:00:00 09/06/1981",NA,NA,NA,NA,NA,NA,69,65,NA,NA,11.7,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,65,5,65,NA,NA
"10:10:00 04/03/1987",NA,NA,NA,NA,NA,NA,68,65,NA,NA,9.1,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,65,12,65,NA,NA
"10:10:00 09/11/1987",NA,NA,NA,NA,NA,NA,64,65,NA,NA,11.2,65,5.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,65,12,65,NA,NA
"10:10:00 13/11/1984",NA,NA,NA,NA,NA,NA,81,65,NA,NA,9,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,12.2,65,NA,NA
"10:15:00 13/01/1981",NA,NA,NA,NA,NA,NA,86,65,NA,NA,10,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,65,13.2,65,NA,NA
