"Date","AmmoniaasN","AmmoniaasN_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","DissolvedOxygenmgL","DissolvedOxygenmgL_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","pHLab","pHLab_Qual"
"06:45:00 03/02/2011",NA,NA,NA,NA,NA,NA,50,1,60,1,NA,NA,NA,NA,8.6,1,6.8,1,0.003,1,NA,NA,NA,NA,0.28,1,NA,NA,NA,NA,0.21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.005,1,7,1,4.2,1,16.4,1,NA,NA
"07:20:00 03/02/2009",NA,NA,NA,NA,NA,NA,NA,NA,63,65,NA,NA,NA,NA,9.8,65,6.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,65,15.8,65,NA,NA
"07:30:00 11/03/2009",NA,NA,NA,NA,NA,NA,38,65,60,65,NA,NA,NA,NA,10.3,65,6.9,65,0.003,65,NA,NA,NA,NA,0.18,65,NA,NA,NA,NA,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,3,65,3.7,65,13.4,65,NA,NA
"07:32:00 10/11/1993",NA,NA,NA,NA,NA,NA,45,65,41,65,NA,NA,NA,NA,10.8,65,6.9,65,0.003,65,NA,NA,NA,NA,0.3,65,NA,NA,NA,NA,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,20,65,5,65,8.5,65,NA,NA
"07:40:00 05/02/1992",NA,NA,NA,NA,NA,NA,NA,NA,48,65,NA,NA,NA,NA,10.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,65,14,65,NA,NA
"07:46:00 03/02/1993",NA,NA,NA,NA,NA,NA,NA,NA,65,65,NA,NA,NA,NA,9.2,65,5.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,65,16.5,65,NA,NA
"07:48:00 04/11/1992",NA,NA,NA,NA,NA,NA,NA,NA,54,65,NA,NA,NA,NA,11.8,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,65,8,65,NA,NA
"07:48:00 06/01/1993",NA,NA,NA,NA,NA,NA,NA,NA,50,65,NA,NA,NA,NA,10,65,6.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,65,12,65,NA,NA
"07:50:00 05/02/2008",NA,NA,NA,NA,NA,NA,60,65,64,65,NA,NA,NA,NA,8.5,65,6.9,65,0.003,65,NA,NA,NA,NA,0.16,65,NA,NA,NA,NA,0.15,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,65,7,65,4.4,65,16.2,65,NA,NA
"07:50:00 12/03/1997",NA,NA,1.1,65,12,65,47,65,79,65,62,65,NA,NA,10.5,65,6.9,65,0.006,65,NA,NA,NA,NA,0.32,65,0.9,65,NA,NA,0.33,65,1.6,65,NA,NA,7.9,65,1.2,65,9,65,NA,NA,NA,NA,0.01,65,15,65,5,65,12.2,65,7.3,65
