"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","ConductivityLab","ConductivityLab_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HardnessasCaCO3","HardnessasCaCO3_Qual","IronasFe","IronasFe_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","PotassiumasK","PotassiumasK_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalDissolvedSolidscalc","TotalDissolvedSolidscalc_Qual","TotalOrganicCarbon","TotalOrganicCarbon_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual","pHLab","pHLab_Qual"
"06:06:00 08/12/2006",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.002,65,30,65,405,65,NA,NA,0.005,65,8.5,65,6.9,65,0.005,65,NA,NA,NA,NA,0.35,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04,65,57,65,42,65,19,65,0.005,65,NA,NA
"06:35:00 12/01/2004",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,90,65,310,65,NA,NA,0.004,65,NA,NA,7.2,65,0.003,65,NA,NA,NA,NA,0.48,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.12,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,38,65,NA,NA,19.8,65,0.007,65,NA,NA
"06:35:00 15/12/2005",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.004,65,55,65,291,65,NA,NA,0.003,65,7.8,65,6.8,65,0.003,65,NA,NA,NA,NA,0.51,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.33,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,53,65,49,65,NA,NA,0.01,65,NA,NA
"06:55:00 09/03/2004",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.004,65,40,65,300,65,NA,NA,0.003,65,7.8,65,6.6,65,0.003,65,NA,NA,NA,NA,0.54,65,0.002,65,NA,NA,NA,NA,1e-04,65,0.004,65,0.13,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,65,54,65,50,65,19.8,65,0.01,65,NA,NA
"07:00:00 17/01/2007",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.002,65,35,65,341,65,NA,NA,0.003,65,6.6,65,7.3,65,0.003,65,NA,NA,NA,NA,0.42,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,50,65,49,65,24.9,65,0.005,65,NA,NA
"07:00:00 25/01/2006",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,50,65,273,65,NA,NA,0.003,65,7.3,65,6.8,65,0.01,65,NA,NA,NA,NA,0.47,65,0.005,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.03,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,52,65,53,65,NA,NA,0.007,65,NA,NA
"07:10:00 16/03/2006",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.004,65,40,65,407,65,NA,NA,0.002,65,7.7,65,7.2,65,0.004,65,NA,NA,NA,NA,0.25,65,0.002,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,65,58,65,58,65,19.2,65,0.008,65,NA,NA
"07:25:00 10/02/2003",0.02,65,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,20,65,320,65,NA,NA,0.004,65,7.2,65,7.4,65,0.003,65,NA,NA,NA,NA,0.61,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.06,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,42,65,19,65,23.1,65,0.009,65,NA,NA
"07:30:00 05/01/2005",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.006,65,50,65,360,65,NA,NA,0.008,65,7.4,65,7.1,65,0.004,65,NA,NA,NA,NA,0.61,65,0.002,65,NA,NA,NA,NA,1e-04,65,0.004,65,0.35,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,65,53,65,68,65,20.2,65,0.008,65,NA,NA
"07:30:00 11/08/2003",0.02,65,0.001,65,2e-04,65,NA,NA,NA,NA,0.002,65,45,65,310,65,NA,NA,0.004,65,10.9,65,6.6,65,0.003,65,NA,NA,NA,NA,0.66,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.004,65,0.96,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,32,65,NA,NA,8.5,65,0.01,65,NA,NA
"07:30:00 15/02/2006",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,50,65,351,65,NA,NA,0.002,65,7.8,65,7.4,65,0.003,65,NA,NA,NA,NA,0.4,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.01,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,47,65,49,65,20.1,65,0.005,65,NA,NA
"07:35:00 07/04/2003",0.02,65,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,20,65,350,65,NA,NA,0.006,65,10.5,65,7.5,65,0.007,65,NA,NA,NA,NA,0.48,65,0.001,65,NA,NA,NA,NA,2e-04,65,0.003,65,0.44,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,46,65,19,65,14.9,65,0.007,65,NA,NA
"07:45:00 03/03/2005",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,55,65,329,65,NA,NA,0.004,65,7.6,65,6.9,65,0.01,65,NA,NA,NA,NA,0.57,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.002,65,0.11,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,65,50,65,50,65,20.5,65,0.007,65,NA,NA
"07:45:00 06/10/2003",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,90,65,320,65,NA,NA,0.005,65,9.4,65,6.8,65,0.01,65,NA,NA,NA,NA,0.9,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.004,65,0.85,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,36,65,NA,NA,12.5,65,0.01,65,NA,NA
"07:45:00 11/03/2003",0.01,65,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,25,65,360,65,NA,NA,0.004,65,8.6,65,7.5,65,0.003,65,NA,NA,NA,NA,0.37,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.08,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,46,65,21,65,18.9,65,0.007,65,NA,NA
"07:50:00 03/12/1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,65,280,65,NA,NA,NA,NA,8.2,65,7.3,65,0.009,65,NA,NA,NA,NA,0.59,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,49,65,10,65,19.5,65,NA,NA,NA,NA
"07:50:00 04/10/2004",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,80,65,380,65,NA,NA,0.006,65,8.2,65,6.5,65,0.01,65,NA,NA,NA,NA,0.96,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.004,65,0.67,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,65,38,65,49,65,14.1,65,0.008,65,NA,NA
"07:50:00 13/04/2005",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,55,65,320,65,NA,NA,0.003,65,9,65,6.9,65,0.006,65,NA,NA,NA,NA,0.52,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.17,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,65,50,65,44,65,NA,NA,0.009,65,NA,NA
"08:00:00 05/03/1997",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,370,65,NA,NA,NA,NA,8.8,65,7,65,0.003,65,NA,NA,NA,NA,0.79,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,50,65,8,65,18.5,65,NA,NA,NA,NA
"08:00:00 06/09/2004",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.003,65,70,65,390,65,NA,NA,0.007,65,9.3,65,6.6,65,0.01,65,NA,NA,NA,NA,0.98,65,0.001,65,NA,NA,NA,NA,1e-04,65,0.003,65,0.72,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,35,65,36,65,11.5,65,0.01,65,NA,NA
"08:00:00 09/02/2004",NA,NA,0.001,65,2e-04,65,NA,NA,NA,NA,0.004,65,40,65,340,65,NA,NA,0.004,65,6.9,65,7.4,65,0.007,65,NA,NA,NA,NA,0.59,65,0.002,65,NA,NA,NA,NA,1e-04,65,0.004,65,0.09,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09,65,44,65,43,65,22.1,65,0.01,65,NA,NA
