"Date","AmmoniaasN","AmmoniaasN_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual"
"08:40:00 16/01/2007",NA,NA,35,65,41,65,8.9,65,6.4,65,0.003,65,0.14,65,0.03,65,0.01,65,1,65,1,65,17.1,65
"08:50:00 12/04/2005",NA,NA,50,65,45,65,11.8,65,6.5,65,0.003,65,0.15,65,0.05,65,0.007,65,1,65,1.6,65,NA,NA
"09:02:00 09/01/2008",NA,NA,35,65,38,65,9.6,65,6,65,0.003,65,0.11,65,0.03,65,0.01,65,2,65,3.2,65,17.3,65
"09:30:00 18/01/2012",NA,NA,35,1,42,1,9.9,1,7.3,1,0.003,1,0.14,1,0.06,1,0.005,1,2,1,4.7,1,16,1
"09:30:00 20/01/2016",NA,NA,32,1,45,1,10,1,6.8,1,0.004,1,0.13,1,0.064,1,0.009,1,2,1,2.9,1,17.5,1
"09:40:00 17/01/2005",NA,NA,35,65,40,65,12.3,65,7.3,65,0.003,65,0.13,65,0.05,65,0.01,65,2,65,2.3,65,13.6,65
"09:40:00 21/01/2015",NA,NA,40,1,41,1,10,1,6.7,1,0.003,1,0.13,1,0.041,1,0.019,1,2,1,2.7,1,15.5,1
"10:00:00 20/04/2011",NA,NA,30,1,46,1,10.8,1,6.9,1,0.003,1,0.17,1,0.096,1,0.005,1,3,1,3.8,1,10.5,1
"10:10:00 19/04/2012",NA,NA,32,1,48,1,10.9,1,6.8,1,0.003,1,0.1,1,0.097,1,0.006,1,3,1,2.9,1,13,1
"10:40:00 21/07/2010",NA,NA,25,1,37,1,12.3,1,6.5,1,0.003,1,0.11,1,0.065,1,0.005,1,2,1,2.7,1,5.5,1
"10:40:00 22/01/2013",NA,NA,32,1,48,1,10.4,1,6.6,1,0.003,1,0.13,1,0.085,1,0.01,1,2,1,2.6,1,16,1
"10:40:00 27/01/2004",NA,NA,35,65,47,65,9.8,65,6.9,65,0.003,65,0.18,65,0.05,65,0.01,65,2,65,1.2,65,15.3,65
"10:53:00 25/07/2006",NA,NA,35,65,37,65,12,65,6.7,65,0.003,65,0.15,65,0.06,65,0.006,65,4,65,1.8,65,6.9,65
"10:55:00 22/07/2008",NA,NA,70,65,43,65,11,65,6.9,65,0.003,65,0.28,65,0.11,65,0.02,65,6,65,7.9,65,6.5,65
"11:05:00 11/04/2007",NA,NA,30,65,39,65,10,65,6.5,65,0.006,65,0.14,65,0.03,65,0.02,65,2,65,2.6,65,11.7,65
"11:10:00 27/10/2015",NA,NA,32,1,45,1,10.8,1,6.7,1,0.003,1,0.15,1,0.1,1,0.012,1,6,1,4.5,1,11.5,1
"11:15:00 14/02/2006",NA,NA,40,65,43,65,9.5,65,7,65,0.003,65,0.13,65,0.03,65,0.009,65,1,65,2.8,65,14,65
"11:25:00 28/04/2008",NA,NA,35,65,47,65,11.2,65,7.4,65,0.003,65,0.22,65,0.04,65,0.005,65,2,65,2,65,8.6,65
"11:35:00 12/07/2005",NA,NA,40,65,42,65,11.7,65,7.1,65,0.003,65,0.16,65,0.13,65,0.009,65,2,65,2.7,65,NA,NA
"11:45:00 24/10/2006",NA,NA,25,65,NA,NA,11.5,65,7.1,65,0.003,65,0.05,65,0.04,65,0.01,65,1,65,1.1,65,11,65
"11:47:00 11/10/2005",NA,NA,35,65,34,65,11.6,65,7.1,65,0.003,65,0.12,65,0.08,65,0.006,65,2,65,2.9,65,NA,NA
"11:50:00 09/01/2018",NA,NA,32,1,41,1,9.2,1,6.9,1,0.003,1,0.1,1,0.065,1,0.011,1,2,1,2.9,1,16,1
"11:50:00 23/10/2018",NA,NA,35,1,34,1,10.5,1,6.9,1,0.003,1,0.19,1,0.041,1,0.009,1,2,1,2,1,11.3,1
"11:55:00 10/10/2007",NA,NA,25,65,36,65,10.1,65,6.5,65,0.003,65,0.05,65,0.18,65,0.005,65,2,65,1.3,65,9.1,65
"12:00:00 20/10/2010",NA,NA,40,1,32,1,10.9,1,6.6,1,0.003,1,0.16,1,0.096,1,0.006,1,2,1,3.9,1,7,1
"12:05:00 22/04/2009",NA,NA,30,65,41,65,11.6,65,6.8,65,0.003,65,0.1,65,0.03,65,0.005,65,2,65,1.3,65,9.5,65
"12:20:00 10/07/2007",NA,NA,50,65,36,65,12,65,6.3,65,0.008,65,0.17,65,0.17,65,0.01,65,4,65,4.6,65,6.3,65
"12:20:00 15/04/2014",NA,NA,45,1,42,1,10.7,1,7,1,0.003,1,0.25,1,0.087,1,0.022,1,4,1,5.2,1,11,1
"12:20:00 17/01/2017",NA,NA,32,1,44,1,9.5,1,6.7,1,0.004,1,0.16,1,0.062,1,0.009,1,2,1,4.3,1,18.5,1
"12:30:00 16/10/2012",NA,NA,32,1,44,1,11.4,1,6.7,1,0.003,1,0.13,1,0.14,1,0.007,1,2,1,4.9,1,10.5,1
"12:30:00 19/10/2016",NA,NA,48,1,35,1,10.4,1,6.5,1,0.003,1,0.14,1,0.052,1,0.009,1,4,1,6.5,1,8.5,1
"12:30:00 29/07/2003",0.002,65,45,65,72,65,12.2,65,8,65,0.003,65,0.2,65,0.21,65,0.01,65,2,65,NA,NA,6.2,65
"12:40:00 14/10/2020",NA,NA,25,1,42,1,10.84,1,6.62,1,0.003,1,0.07,1,0.15,1,0.006,1,4,1,3.1,1,11.7,1
"12:40:00 19/04/2004",NA,NA,45,65,44,65,10.5,65,6.4,65,0.004,65,0.15,65,0.04,65,0.007,65,1,65,1.3,65,11.7,65
"12:40:00 20/01/2021",NA,NA,NA,NA,41,1,10.35,1,6.73,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,1,13,1
"12:40:00 21/10/2014",NA,NA,35,1,38,1,10.5,1,7,1,0.003,1,0.13,1,0.077,1,0.009,1,4,1,4.9,1,11.5,1
"12:40:00 22/01/2019",NA,NA,25,1,43,1,8.42,1,7.05,1,0.003,1,0.16,1,0.04,1,0.01,1,2,1,1.4,1,21.8,1
"12:45:00 05/07/2012",NA,NA,30,1,47,1,11.1,1,6.8,1,0.003,1,0.14,1,0.14,1,0.006,1,3,1,4.1,1,6,1
"12:45:00 20/10/2009",NA,NA,30,1,34.8,1,8,1,7,1,0.003,1,0.05,1,0.123,1,0.005,1,1,1,6,1,10.3,1
"12:45:00 26/04/2006",NA,NA,40,65,32,65,11.3,65,6.6,65,0.006,65,0.16,65,0.04,65,0.01,65,2,65,1.8,65,9.1,65
"12:45:00 26/07/2004",NA,NA,25,65,41,65,12.1,65,6.5,65,0.003,65,0.1,65,0.04,65,0.005,65,2,65,2,65,6.9,65
"12:50:00 14/01/2009",NA,NA,22,65,37,65,10.2,65,6.9,65,0.003,65,0.12,65,0.003,65,0.009,65,3,65,2.4,65,18.5,65
"12:50:00 22/01/2014",NA,NA,35,1,45,1,9,1,6.9,1,0.003,1,0.17,1,0.065,1,0.009,1,2,1,2.4,1,17,1
"13:00:00 08/01/2020",NA,NA,30,1,44,1,9.81,1,6.71,1,0.003,1,0.16,1,0.06,1,0.007,1,2,1,2.6,1,15,1
"13:00:00 15/10/2019",NA,NA,25,1,39,1,11.07,1,6.55,1,0.003,1,0.09,1,0.066,1,0.008,1,2,1,2,1,10,1
"13:00:00 19/01/2011",NA,NA,35,1,45,1,9.9,1,6.9,1,0.003,1,0.18,1,0.052,1,0.012,1,2,1,3.2,1,15,1
"13:00:00 20/04/2010",NA,NA,30,1,32,1,10.7,1,6.9,1,0.001,1,0.07,1,0.032,1,0.005,1,1,1,1.8,1,13.6,1
"13:08:00 20/04/2017",NA,NA,28,1,43,1,9.7,1,6.5,1,0.007,1,0.1,1,0.083,1,0.008,1,2,1,2.5,1,12.3,1
"13:10:00 17/10/2017",NA,NA,24,1,33,1,10.5,1,6.6,1,0.003,1,0.37,1,0.065,1,0.029,1,8,1,3.5,1,12.5,1
"13:10:00 18/10/2004",NA,NA,30,65,40,65,13.9,65,6.5,65,0.003,65,0.17,65,0.08,65,0.008,65,8,65,4.8,65,9.4,65
"13:10:00 28/07/2009",NA,NA,25,1,46.4,1,11.1,1,6.9,1,0.002,1,0.06,1,0.028,1,0.005,1,1,1,1.6,1,6.5,1
"13:20:00 16/04/2019",NA,NA,30,1,42,1,10.09,1,6.84,1,0.003,1,0.17,1,0.038,1,0.009,1,2,1,1.2,1,13.4,1
"13:20:00 22/10/2013",NA,NA,30,1,48,1,10.2,1,6.8,1,0.003,1,0.11,1,0.1,1,0.006,1,2,1,2.6,1,12,1
"13:25:00 15/10/2008",NA,NA,26,65,55,65,11.7,65,6.7,65,0.003,65,0.13,65,0.04,65,0.005,65,2,65,1.4,65,10,65
"13:30:00 20/07/2011",NA,NA,80,1,42,1,12,1,6.5,1,0.003,1,1.3,1,0.17,1,0.12,1,69,1,112,1,7,1
"13:35:00 26/10/2011",NA,NA,50,1,48,1,11.1,1,6.8,1,0.003,1,0.26,1,0.1,1,0.013,1,6,1,10.4,1,12,1
"13:50:00 20/10/2003",NA,NA,70,65,39,65,10.8,65,7,65,0.003,65,0.24,65,0.05,65,0.01,65,4,65,NA,NA,10.3,65
"14:00:00 15/04/2020",NA,NA,35,1,40,1,10.61,1,6.82,1,0.003,1,0.09,1,0.089,1,0.007,1,3,1,3.7,1,12,1
"14:00:00 17/04/2018",NA,NA,48,1,36,1,10.3,1,7,1,0.003,1,0.3,1,0.06,1,0.026,1,5,1,6.6,1,12,1
"14:00:00 17/07/2018",NA,NA,25,1,39,1,11.3,1,6.8,1,0.003,1,0.15,1,0.072,1,0.01,1,7,1,2.6,1,7,1
"14:00:00 19/04/2016",NA,NA,32,1,43,1,10.9,1,6.5,1,0.003,1,0.11,1,0.075,1,0.005,1,2,1,6.5,1,13,1
"14:00:00 19/07/2016",NA,NA,32,1,33,1,10.5,1,6.4,1,0.003,1,0.1,1,0.11,1,0.005,1,2,1,2.5,1,8.5,1
"14:10:00 16/07/2019",NA,NA,50,1,43,1,11.84,1,6.86,1,0.003,1,0.23,1,0.21,1,0.021,1,2,1,6.9,1,7.5,1
"14:10:00 17/04/2013",NA,NA,50,1,49,1,10.5,1,6.7,1,0.003,1,0.16,1,0.096,1,0.008,1,3,1,3.7,1,11.5,1
"14:15:00 18/01/2010",NA,NA,80,1,46.1,1,10.2,1,6.7,1,0.003,1,0.19,1,0.114,1,0.025,1,23,1,21,1,13.5,1
"14:15:00 20/07/2017",NA,NA,80,1,35,1,12.1,1,6.1,1,0.007,1,0.45,1,0.12,1,0.035,1,18,1,17.3,1,6.5,1
"14:25:00 21/07/2015",NA,NA,30,1,43,1,12.7,1,6.7,1,0.003,1,0.1,1,0.18,1,0.006,1,4,1,3.8,1,5,1
"14:30:00 14/07/2020",NA,NA,70,1,45,1,11.74,1,6.39,1,0.003,1,0.49,1,0.35,1,0.04,1,34,1,29,1,7.8,1
"14:55:00 21/04/2015",NA,NA,50,1,NA,NA,NA,NA,NA,NA,0.003,1,0.15,1,0.088,1,0.006,1,2,1,NA,NA,NA,NA
"15:00:00 18/07/2013",NA,NA,30,1,52,1,11.1,1,6.7,1,0.003,1,0.1,1,0.14,1,0.005,1,2,1,3,1,10,1
"15:00:00 22/07/2014",NA,NA,30,1,43,1,12.5,1,6.9,1,0.003,1,0.16,1,0.16,1,0.012,1,5,1,3.1,1,6.5,1
