"Date","AluminiumasAl","AluminiumasAl_Qual","AmmoniaasN","AmmoniaasN_Qual","BicarbonateAlkalinityasCaCO3","BicarbonateAlkalinityasCaCO3_Qual","CadmiumasCd","CadmiumasCd_Qual","CalciumasCa","CalciumasCa_Qual","CarbonateAlkalinityasCaCO3","CarbonateAlkalinityasCaCO3_Qual","ChlorideasCl","ChlorideasCl_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","HydroxideAlkalinityasCaCO3","HydroxideAlkalinityasCaCO3_Qual","IronasFe","IronasFe_Qual","LeadasPb","LeadasPb_Qual","MagnesiumasMg","MagnesiumasMg_Qual","ManganeseasMn","ManganeseasMn_Qual","MercuryasHg","MercuryasHg_Qual","MolybdenumasMo","MolybdenumasMo_Qual","NickelasNi","NickelasNi_Qual","NitrateNitrogen","NitrateNitrogen_Qual","NitriteNitrogen","NitriteNitrogen_Qual","PotassiumasK","PotassiumasK_Qual","SeleniumasSe","SeleniumasSe_Qual","SilicaasSiO2reactiveEG052G","SilicaasSiO2reactiveEG052G_Qual","SodiumasNa","SodiumasNa_Qual","SulphateasSO4","SulphateasSO4_Qual","TotalAlkalinityasCaCO3","TotalAlkalinityasCaCO3_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"06:15:00 02/02/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,65,560,65,NA,NA,7.7,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,15.2,65,17.8,65,NA,NA
"08:20:00 12/02/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,65,NA,NA,NA,NA,NA,NA
"08:20:00 19/01/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,65,690,65,NA,NA,8.6,65,7.9,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,NA,NA,17.7,65,NA,NA
"08:25:00 09/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,648,65,NA,NA,6.2,65,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,11,65,NA,NA,NA,NA
"08:25:00 27/09/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,65,320,65,NA,NA,9.4,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,22,65,12.6,65,NA,NA
"08:30:00 15/01/2007",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,893,65,NA,NA,6.1,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,65,11,65,20.9,65,NA,NA
"08:30:00 15/03/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,740,65,NA,NA,7.9,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,65,10,65,19.5,65,NA,NA
"08:35:00 01/03/2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,770,65,NA,NA,8.5,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65,16,65,18.5,65,NA,NA
"08:35:00 03/01/2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,65,559,65,NA,NA,6.3,65,7.1,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,65,7.3,65,NA,NA,NA,NA
"08:35:00 05/12/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,65,NA,NA,7.2,65,7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,65,NA,NA,NA,NA
"08:35:00 10/01/2005",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,65,550,65,NA,NA,8.3,65,7.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,65,12,65,17.6,65,NA,NA
