"Date","AmmoniaasN","AmmoniaasN_Qual","ArsenicasAs","ArsenicasAs_Qual","CadmiumasCd","CadmiumasCd_Qual","ChromiumasCr","ChromiumasCr_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","CopperasCu","CopperasCu_Qual","DissolvedOxygenppm","DissolvedOxygenppm_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","LeadasPb","LeadasPb_Qual","MercuryasHg","MercuryasHg_Qual","NickelasNi","NickelasNi_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual","WaterTemperature","WaterTemperature_Qual","ZincasZn","ZincasZn_Qual"
"06:20:00 12/03/2003",0.03,65,0.001,65,2e-04,65,0.006,65,30,65,580,65,0.006,65,8.5,65,7.2,65,0.01,65,0.78,65,0.003,65,1e-04,65,0.004,65,0.63,65,0.09,65,80,65,60,65,18.1,65,0.01,65
"06:40:00 15/01/2003",0.05,65,0.001,65,2e-04,65,0.004,65,25,65,650,65,0.005,65,7.4,65,6.7,65,0.003,65,0.87,65,0.002,65,1e-04,65,0.005,65,0.08,65,0.1,65,62,65,45,65,17.9,65,0.01,65
"06:45:00 14/01/2004",NA,NA,0.001,65,2e-04,65,0.003,65,100,65,420,65,0.004,65,7.7,65,7.1,65,0.01,65,0.62,65,0.002,65,1e-04,65,0.003,65,0.2,65,0.1,65,39,65,NA,NA,19.7,65,0.02,65
"07:40:00 09/09/2003",NA,NA,0.001,65,2e-04,65,0.001,65,55,65,470,65,0.003,65,9.6,65,7,65,0.02,65,0.67,65,0.001,65,1e-04,65,0.003,65,1.3,65,0.11,65,15,65,NA,NA,8.6,65,0.007,65
"07:43:00 08/10/2015",NA,NA,0.001,1,2e-04,1,0.001,1,56,1,520,1,0.002,1,9.1,1,7.1,1,0.006,1,0.62,1,0.001,1,1e-04,1,0.002,1,0.98,1,0.062,1,25,1,32.2,1,14.8,1,0.004,1
"08:00:00 08/01/2019",NA,NA,0.001,1,2e-04,1,0.001,1,60,1,577,1,0.002,1,7.1,1,7.3,1,0.008,1,0.71,1,0.001,1,1e-04,1,0.002,1,0.69,1,0.12,1,39,1,45.9,1,19.7,1,0.012,1
"08:00:00 08/03/2012",NA,NA,0.001,1,2e-04,1,0.003,1,72,1,441,1,0.003,1,8,1,7.3,1,0.038,1,1,1,0.002,1,1e-04,1,0.003,1,0.72,1,0.2,1,71,1,84.4,1,16,1,0.009,1
"08:00:00 17/11/2004",NA,NA,0.001,65,2e-04,65,0.005,65,120,65,350,65,0.009,65,8.5,65,6.7,65,0.01,65,1.5,65,0.002,65,1e-04,65,0.005,65,1,65,0.18,65,56,65,70,65,15.5,65,0.02,65
"08:05:00 10/12/2003",NA,NA,0.001,65,2e-04,65,0.003,65,200,65,380,65,0.004,65,8.2,65,7.5,65,0.008,65,0.75,65,0.001,65,1e-04,65,0.003,65,0.4,65,0.09,65,30,65,NA,NA,21.8,65,0.01,65
"08:20:00 12/08/1997",NA,NA,NA,NA,NA,NA,NA,NA,25,65,480,65,NA,NA,10.8,65,7,65,0.12,65,1.5,65,NA,NA,NA,NA,NA,NA,1.6,65,0.3,65,41,65,34,65,8.5,65,NA,NA
"08:22:00 08/02/1996",NA,NA,NA,NA,NA,NA,NA,NA,55,65,130,65,NA,NA,8.1,65,7.3,65,0.04,65,0.7,65,NA,NA,NA,NA,NA,NA,0.6,65,0.18,65,41,65,58,65,19,65,NA,NA
"08:26:00 06/11/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,65,NA,NA,10,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,65,14.5,65,NA,NA
"08:26:00 15/01/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,380,65,NA,NA,8.8,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,65,16.5,65,NA,NA
"08:30:00 06/11/2012",NA,NA,0.001,1,2e-04,1,0.003,1,70,1,427,1,0.003,1,8.5,1,7.5,1,0.036,1,1,1,0.001,1,1e-04,1,0.003,1,1.4,1,0.17,1,63,1,77,1,18.9,1,0.008,1
"08:33:00 11/10/2017",NA,NA,0.001,1,2e-04,1,0.001,1,64,1,463,1,0.002,1,9.1,1,7,1,0.03,1,0.95,1,0.001,1,1e-04,1,0.002,1,1.1,1,0.13,1,37,1,42.2,1,13.6,1,0.005,1
"08:35:00 03/11/1993",NA,NA,NA,NA,NA,NA,NA,NA,100,65,260,65,NA,NA,8.9,65,6.9,65,0.04,65,1.8,65,NA,NA,NA,NA,NA,NA,0.82,65,0.36,65,66,65,110,65,12.5,65,NA,NA
"08:38:00 10/02/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,65,NA,NA,8.4,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,65,18,65,NA,NA
"08:40:00 11/11/1992",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,65,NA,NA,9.3,65,6.6,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,65,12,65,NA,NA
"08:40:00 15/05/2003",0.03,65,0.001,65,2e-04,65,0.002,65,20,65,390,65,0.004,65,8.5,65,7.2,65,0.01,65,0.64,65,0.001,65,1e-04,65,0.01,65,0.54,65,0.07,65,48,65,32,65,12.3,65,0.01,65
"08:40:00 16/12/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,8.3,65,6.7,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,17,65,NA,NA
"08:46:00 11/02/1991",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,710,65,NA,NA,9.2,65,6.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,65,18,65,NA,NA
"08:50:00 06/02/2003",0.05,65,0.001,65,2e-04,65,0.005,65,25,65,560,65,0.005,65,4.4,65,7.5,65,0.006,65,0.83,65,0.003,65,1e-04,65,0.005,65,0.46,65,0.11,65,75,65,46,65,20.4,65,0.01,65
