"Date","Turbidity","Turbidity_Qual"
"17:30:00 10/09/1999",24,2
"17:45:00 10/09/1999",25,2
"20:00:00 10/09/1999",26.9,2
"00:00:00 11/09/1999",29.8,2
"01:30:00 11/09/1999",26.7,2
"04:00:00 11/09/1999",25.7,2
"08:00:00 11/09/1999",25.5,2
"12:00:00 11/09/1999",22.4,2
"16:00:00 11/09/1999",22.4,2
"17:45:00 11/09/1999",23.6,2
"18:45:00 11/09/1999",24.2,2
"20:00:00 11/09/1999",25.2,2
"00:00:00 12/09/1999",25,2
"04:00:00 12/09/1999",23.9,2
"08:00:00 12/09/1999",21.8,2
"11:45:00 12/09/1999",20.7,2
"12:00:00 12/09/1999",20.7,2
"16:00:00 12/09/1999",21.5,2
"18:45:00 12/09/1999",21.5,2
"20:00:00 12/09/1999",22.4,2
"04:00:00 13/09/1999",22.2,2
"08:00:00 13/09/1999",21,2
"10:45:00 13/09/1999",19.9,2
"12:00:00 13/09/1999",18.9,2
"15:15:00 13/09/1999",17.8,2
"16:00:00 13/09/1999",17.8,2
"18:00:00 13/09/1999",23.7,2
"20:00:00 13/09/1999",20.7,2
"00:00:00 14/09/1999",20.5,2
"03:00:00 14/09/1999",21.4,2
"04:00:00 14/09/1999",20.4,2
"08:00:00 14/09/1999",20.3,2
"10:00:00 14/09/1999",18.2,2
"16:00:00 14/09/1999",18,2
"20:00:00 14/09/1999",20.9,2
"04:00:00 15/09/1999",20.7,2
"08:00:00 15/09/1999",19.5,2
"12:00:00 15/09/1999",17.4,2
"16:00:00 15/09/1999",17.3,2
"18:30:00 15/09/1999",23.2,2
"20:00:00 15/09/1999",22.1,2
"00:00:00 16/09/1999",24,2
"04:00:00 16/09/1999",22.9,2
"06:30:00 16/09/1999",28.8,2
"07:00:00 16/09/1999",22.8,2
"08:00:00 16/09/1999",21.8,2
"10:00:00 16/09/1999",33.7,2
"10:15:00 16/09/1999",23.7,2
"12:00:00 16/09/1999",20.6,2
"15:00:00 16/09/1999",20.6,2
"16:00:00 16/09/1999",18.5,2
"17:45:00 16/09/1999",23.5,2
"20:00:00 16/09/1999",21.4,2
"21:45:00 16/09/1999",28.3,2
"22:00:00 16/09/1999",21.3,2
"23:45:00 16/09/1999",33.3,2
"00:00:00 17/09/1999",23.3,2
"04:00:00 17/09/1999",21.1,2
"05:00:00 17/09/1999",22.1,2
"06:00:00 17/09/1999",23.1,2
"08:00:00 17/09/1999",22,2
"11:30:00 17/09/1999",18.9,2
"12:00:00 17/09/1999",18.9,2
"16:00:00 17/09/1999",19.8,2
"17:15:00 17/09/1999",22.7,2
"17:45:00 17/09/1999",22.7,2
"18:30:00 17/09/1999",23.7,2
"19:15:00 17/09/1999",23.7,2
"20:00:00 17/09/1999",21.6,2
"21:00:00 17/09/1999",33.6,2
"21:15:00 17/09/1999",24.6,2
"23:30:00 17/09/1999",31.5,2
"00:00:00 18/09/1999",29.5,2
"01:15:00 18/09/1999",26.5,2
"02:00:00 18/09/1999",27.5,2
"03:15:00 18/09/1999",28.4,2
"04:00:00 18/09/1999",29.4,2
"04:45:00 18/09/1999",31.4,2
"06:00:00 18/09/1999",40.3,2
"06:15:00 18/09/1999",31.3,2
"07:45:00 18/09/1999",27.3,2
"08:00:00 18/09/1999",28.3,2
"08:30:00 18/09/1999",27.2,2
"09:00:00 18/09/1999",28.2,2
"09:30:00 18/09/1999",25.2,2
"10:00:00 18/09/1999",26.2,2
"10:15:00 18/09/1999",31.2,2
"10:45:00 18/09/1999",32.2,2
"11:15:00 18/09/1999",29.2,2
"11:30:00 18/09/1999",28.2,2
"12:00:00 18/09/1999",31.1,2
"12:30:00 18/09/1999",32.1,2
"13:00:00 18/09/1999",36.1,2
"15:45:00 18/09/1999",30,2
"16:00:00 18/09/1999",31,2
"17:30:00 18/09/1999",33,2
"19:00:00 18/09/1999",34.9,2
"20:00:00 18/09/1999",31.9,2
