"Date","Chlorophylla","Chlorophylla_Qual","Colour","Colour_Qual","Conductivity","Conductivity_Qual","DissolvedOrganicCarbon","DissolvedOrganicCarbon_Qual","FieldpH","FieldpH_Qual","FilteredReactivePhosphorus","FilteredReactivePhosphorus_Qual","KjeldahlNitrogen","KjeldahlNitrogen_Qual","NitrateNitriteasN","NitrateNitriteasN_Qual","Phaeophytin","Phaeophytin_Qual","TotalPhosphorus","TotalPhosphorus_Qual","TotalReactivePhosphorus","TotalReactivePhosphorus_Qual","TotalSuspendedSolids","TotalSuspendedSolids_Qual","Turbidity","Turbidity_Qual"
"08:00:00 26/07/1995",3.5,65,180,65,NA,NA,1,65,NA,NA,NA,NA,2,65,0.19,65,4.7,65,0.07,65,0.02,65,14,65,NA,NA
"08:00:00 28/07/1995",NA,NA,NA,NA,NA,180,NA,NA,7.5,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,65
"12:00:00 06/10/1993",NA,NA,NA,NA,4200,65,NA,NA,8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,65
"14:00:00 02/05/1995",17,65,240,65,19800,65,70,65,8.1,65,0.03,65,4.4,65,0.36,65,14,65,0.18,65,NA,NA,70,65,26,65
"14:00:00 07/02/1995",17,65,480,65,16800,65,100,65,7.6,65,NA,NA,7.7,65,0.8,65,7.6,65,0.56,65,0.06,65,300,65,60,65
"14:00:00 27/05/1993",NA,NA,NA,NA,6900,65,NA,NA,8.8,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,65
"14:30:00 06/04/1994",NA,NA,NA,NA,8100,65,NA,NA,8.3,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,65
"14:30:00 19/07/1994",1.5,65,380,65,6600,65,72,65,7.3,65,0.05,65,5.6,65,0.13,65,4.1,65,0.43,65,NA,NA,320,65,58,65
"15:00:00 04/10/1994",231,65,220,65,8300,65,120,65,9.2,65,0.05,65,6.8,65,0.003,65,87,65,0.5,65,NA,NA,320,65,70,65
"15:00:00 20/12/1993",NA,NA,NA,NA,5200,65,NA,NA,7.2,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,65
"16:00:00 06/02/1996",62,65,330,65,11800,65,71,65,8.1,65,0.02,65,4.4,65,0.01,65,42,65,0.3,65,NA,NA,140,65,61,65
"16:00:00 22/07/1996",NA,NA,NA,NA,14000,65,NA,NA,8.4,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,65
"16:30:00 18/10/1995",29,65,250,65,14600,65,2,65,7.9,65,0.03,65,3.1,65,0.01,65,18,65,0.18,65,NA,NA,91,65,17.7,65
"16:40:00 12/03/1996",36,65,400,65,13800,65,58,65,8.2,65,0.006,65,4,65,0.003,65,13,65,0.21,65,NA,NA,62,65,55,65
