"Date","Conductivity","Conductivity_Qual","WaterTemperature","WaterTemperature_Qual"
"00:00:00 01/01/2015",9523,15,20.1,2
"00:00:00 01/01/2016",11253.4,15,26,2
"00:00:00 01/02/2015",12576,15,18.5,2
"00:00:00 01/02/2016",11327,15,22.7,2
"00:00:00 01/03/2014",12263,2,20.2,2
"00:00:00 01/03/2015",11055,2,22.2,2
"00:00:00 01/03/2016",17154,2,23.8,2
"00:00:00 01/04/2014",11915,2,21.7,2
"00:00:00 01/04/2015",16910,2,18.5,2
"00:00:00 01/04/2016",14009.8,2,17.8,2
"00:00:00 01/05/2014",10708,2,15.4,2
"00:00:00 01/05/2015",18546.5,2,15.1,2
"00:00:00 01/05/2016",21914.2,2,18,2
"00:00:00 01/06/2014",16809,2,14.2,2
"00:00:00 01/06/2015",17946.5,2,11.3,2
"00:00:00 01/06/2016",24679.7,2,11.3,2
"00:00:00 01/07/2014",16111,2,9,2
"00:00:00 01/07/2015",18511.4,2,10.3,2
"00:00:00 01/07/2016",22582.2,2,9.3,2
"00:00:00 01/08/2014",11072,2,10.8,2
"00:00:00 01/08/2015",14278.3,2,9.6,2
"00:00:00 01/09/2014",8140,2,14.7,2
"00:00:00 01/09/2015",5970.2,2,11.5,2
"00:00:00 01/10/2014",3447,2,16.3,2
"00:00:00 01/10/2015",5021.2,2,15.2,2
"00:00:00 01/11/2014",8969,2,19.2,2
"00:00:00 01/11/2015",6076.2,2,20.1,2
"00:00:00 01/12/2013",1196,2,19.8,2
"00:00:00 01/12/2014",7033,2,21.4,2
"00:00:00 01/12/2015",9236.2,2,19.7,2
"00:00:00 02/01/2015",9615,15,20.8,2
"00:00:00 02/01/2016",11033,15,25.2,2
"00:00:00 02/02/2015",12446,15,19.2,2
"00:00:00 02/02/2016",11111.7,15,22.3,2
"00:00:00 02/03/2014",12688,2,20.5,2
"00:00:00 02/03/2015",10927,2,21.6,2
"00:00:00 02/03/2016",16737.7,2,24.6,2
"00:00:00 02/04/2014",10642,2,22.6,2
"00:00:00 02/04/2015",16660,2,19.3,2
"00:00:00 02/04/2016",12636.5,2,19,2
"00:00:00 02/05/2014",10066,2,15,2
"00:00:00 02/05/2015",12826.8,2,15.4,2
"00:00:00 02/05/2016",20546.2,2,16.4,2
"00:00:00 02/06/2014",17641,2,14.1,2
"00:00:00 02/06/2015",18275.8,2,10.4,2
"00:00:00 02/06/2016",25817.8,2,11.3,2
"00:00:00 02/07/2014",13881,2,9.4,2
"00:00:00 02/07/2015",18762.1,2,10.2,2
"00:00:00 02/07/2016",25407.3,2,9.8,2
"00:00:00 02/08/2014",7300,2,10.2,2
"00:00:00 02/08/2015",13044,2,9.4,2
"00:00:00 02/09/2014",5979,2,13.9,2
"00:00:00 02/09/2015",7180,2,12,2
"00:00:00 02/10/2014",7774,2,15.3,2
"00:00:00 02/10/2015",4749.1,2,15.8,2
"00:00:00 02/11/2014",3837,2,17.3,2
"00:00:00 02/11/2015",5575.6,2,20.7,2
"00:00:00 02/12/2013",1059,2,20.5,2
"00:00:00 02/12/2014",6878,2,21.4,2
"00:00:00 02/12/2015",3605.6,2,20.2,2
"00:00:00 03/01/2015",10078,15,22.8,2
"00:00:00 03/01/2016",11735.7,15,23.1,2
"00:00:00 03/02/2015",12738,15,19.9,2
"00:00:00 03/02/2016",11189.4,15,23.9,2
"00:00:00 03/03/2014",11879,2,21.6,2
"00:00:00 03/03/2015",11950,2,21.8,2
"00:00:00 03/03/2016",16182.4,2,26.1,2
"00:00:00 03/04/2014",10833,2,22.6,2
"00:00:00 03/04/2015",16613,2,18,2
"00:00:00 03/04/2016",13606.2,2,18.4,2
"00:00:00 03/05/2014",10420,2,15.1,2
"00:00:00 03/05/2015",18847.1,2,15.3,2
"00:00:00 03/05/2016",20530.3,2,15.1,2
"00:00:00 03/06/2014",18240,2,14.1,2
"00:00:00 03/06/2015",18663.2,2,9.8,2
"00:00:00 03/06/2016",24774.8,2,11,2
"00:00:00 03/07/2014",15624,2,9.6,2
"00:00:00 03/07/2015",18215.8,2,9.5,2
"00:00:00 03/07/2016",25460.3,2,10.2,2
"00:00:00 03/08/2014",11426,2,9.5,2
"00:00:00 03/08/2015",6934.7,2,9.5,2
"00:00:00 03/09/2014",7278,2,13.4,2
"00:00:00 03/09/2015",7843.8,2,12.6,2
"00:00:00 03/10/2014",4538,2,15.3,2
"00:00:00 03/10/2015",4756.9,2,16.1,2
"00:00:00 03/11/2014",7620,2,16.1,2
"00:00:00 03/11/2015",3831,2,19.5,2
"00:00:00 03/12/2013",2751,2,21.9,2
"00:00:00 03/12/2014",6805,2,22.2,2
"00:00:00 03/12/2015",8571,2,19.1,2
"00:00:00 04/01/2015",9473,15,24.3,2
"00:00:00 04/01/2016",10316.4,15,20.8,2
"00:00:00 04/02/2015",12042,15,20.6,2
"00:00:00 04/02/2016",10056.1,15,22.6,2
"00:00:00 04/03/2014",13318,2,22.1,2
"00:00:00 04/03/2015",11741,2,22,2
"00:00:00 04/03/2016",16562.1,2,25.1,2
"00:00:00 04/04/2014",10191,2,21,2
"00:00:00 04/04/2015",16012,2,16.6,2
"00:00:00 04/04/2016",14578.9,2,17.8,2
"00:00:00 04/05/2014",10722,2,14.9,2
"00:00:00 04/05/2015",17566.4,2,16.2,2
"00:00:00 04/05/2016",19829.3,2,14.8,2
"00:00:00 04/06/2014",20035,2,14.1,2
"00:00:00 04/06/2015",19008.5,2,9.9,2
