Site Id,Site Name,Latitude,Longitude,Easting,Northing,Zone,Gauge Zero (Ahd),Site Start Date,Site Cease Date,Drainage Area (Sq.Km)
225103,THOMSON RIVER @ THOMSON ADIT,-37.69430286,146.2184801,431100,5827800,55,0,23/3/1973,1/5/1984,98
225114,THOMSON RIVER @ D/S WHITELAWS CREEK,-37.71277777,146.2819456,436711,5825795,55,0,27/3/1987,,155.3
225200,THOMSON RIVER @ HEYFIELD,-37.98544026,146.7801402,480693,5795763,55,35.846,1889/04/01,3/9/2018,1238
225201,AVON RIVER @ STRATFORD,-37.9685868,147.0760061,506676,5797653,55,6.479,1/11/1976,,1485
225204,MACALISTER RIVER @ LAKE GLENMAGGIE (TAIL GAUGE),-37.90204282,146.8053219,482885,5805021,55,47.015,27/3/1919,,1891
225208,THOMSON RIVER @ COOPER CREEK,-37.985709,146.4249277,449500,5795600,55,185.2,20/11/1929,30/5/1960,906
225209,MACALISTER RIVER @ LICOLA,-37.62961037,146.6233123,466762,5835198,55,2,1/8/1952,,1233
225210,THOMSON RIVER @ THE NARROWS,-37.89101,146.40282,447491.263,5806094.894,55,247.08,11/6/1953,,518
225212,THOMSON RIVER @ WANDOCKA,-38.01068638,146.8810046,489554,5792978,55,19.423,29/3/1963,,1417
225213,ABERFELDY RIVER @ BEARDMORE,-37.85381845,146.4331719,450135,5810238,55,305.552,27/6/1963,,311
225217,BARKLY RIVER @ GLENCAIRN,-37.56089469,146.5663437,461700,5842800,55,263.1,12/5/1966,4/1/1989,248
225218,FREESTONE CREEK @ BRIAGALONG,-37.8101256,147.0950473,508366.4,5815232.8,55,63.238,12/4/1967,,309
225219,MACALISTER RIVER @ GLENCAIRN,-37.51621523,146.5664779,461689,5847757,55,293.54,7/4/1967,,570
225223,VALENCIA CREEK @ GILLIO ROAD,-37.74346413,146.9922931,499321,5822633,55,85.481,6/9/1971,,195
225224,AVON RIVER @ THE CHANNEL,-37.80184085,146.8849073,489868,5816150,55,72,12/7/1972,,554
225225,MACALISTER RIVER @ LAKE GLENMAGGIE (HEAD GAUGE),-37.90461,146.79998,482415.983,5804735.175,55,0,26/1/1925,,1891
225228,THOMSON RIVER @ COWWARR TIMBER WEIR H.G.,-37.99666,146.65796,469968.287,5794485.758,55,-0.96,1/1/1958,,1093
225230,GLENMAGGIE CREEK @ THE GORGE,-37.91372476,146.6561113,469772,5803687,55,120.847,2/5/1975,,139
225231,THOMSON RIVER @ U/S OF COWWARR WEIR,-37.97499864,146.625004,467065,5796878,55,69.4,1/4/1976,,1080
225232,THOMSON RIVER @ BUNDALAGUAH,-38.04526544,146.9921134,499308,5789148,55,5.094,3/11/1976,,3538
225234,AVON RIVER @ CLYDEBANK (CHINN'S BRIDGE),-38.0238042,147.1736143,515238,5791515,55,-0.21,5/5/1977,,1584
225236,RAINBOW CREEK @ HEYFIELD,-38.00213184,146.7800107,480686,5793911,55,33.837,30/4/1992,,0
225247,MACALISTER RIVER @ RIVERSLEA,-38.02567825,146.9777193,498044.5,5791335.7,55,0,16/12/1996,,0
225248,BOGGY CREEK @ CORNWALLS ROAD,-38.00479621,146.9183407,492831,5793649.7,55,0,8/8/2001,,0
225254,THOMSON RIVER @ STH GIPPSLAND HIGHWAY (SALE),-38.14314262,147.0815391,507145,5778285,55,0,16/12/1996,1/5/2013,0
225256,MACALISTER R D/S MAFFRA (SMITHS BR.),-38.00396747,146.9815133,498377,5793730,55,0,31/8/2005,,0
225711,LAKE WELLINGTON DRAIN @ 5 MILES 32 CHAIN MEASURING WEIR,-38.06194444,147.1391667,512208.2,5787288.3,55,0,12/11/1976,3/5/2001,0
225715,CENTRAL GIPPSLAND DRAIN 3 @ NAMBROK (RD 1066M),-38.07090719,146.8699168,488590,5786295,55,0,24/2/1980,15/4/2005,0
